state_fips,year,construction_gdp_chained_2017_million_usd,total_gdp_chained_2017_million_usd,personal_income_nominal_million_usd
01,2015,8009.1,208950.3,187474.7
01,2016,8509.7,212862.8,190871.8
01,2017,8824.8,216615.5,197963.8
01,2018,9193.6,220808.8,205674.2
01,2019,9821.6,225272.8,215151.8
01,2020,10006.9,223025.5,230878.4
01,2021,10365.4,233951.1,255682.3
01,2022,9693.1,239846.6,262425.8
01,2023,9877.3,248313.7,279484.6
02,2015,2708.7,53681.1,41918.6
02,2016,2550.2,53463.9,41285.5
02,2017,2445,53550.9,41919.4
02,2018,2500.5,52479.6,43522.7
02,2019,2560,52377.5,44459.7
02,2020,2467.7,50901.3,45375.8
02,2021,2374.9,51764,48327.1
02,2022,2106.8,50509.1,50793.7
02,2023,2224.5,54183.8,53322
04,2015,12776.5,308582.8,267474.1
04,2016,13918.7,319008.4,279696.7
04,2017,15520.3,333099,297261.5
04,2018,17030.5,346398.3,315459
04,2019,18334.7,359576.7,337257.2
04,2020,19960.8,366588,374282.4
04,2021,20707.7,396457.5,415893.1
04,2022,21122.8,413798.8,435718.7
04,2023,22526.2,427644,471040.2
05,2015,4550.6,121532.5,116632.4
05,2016,4698.3,123034.9,119758.8
05,2017,4819.6,123882.6,123825.4
05,2018,4762.3,126371.2,128970.8
05,2019,4859.8,127220,131394.8
05,2020,4970.9,128395.6,142072.2
05,2021,5200.5,137634.8,161493.9
05,2022,4986.8,138672,163688.6
05,2023,5243.3,141968,173568.3
06,2015,97403.7,2545979.5,2097049.6
06,2016,104378.3,2623711.7,2191138
06,2017,110699.1,2740550.3,2295048.7
06,2018,116056.6,2850970.3,2411055.1
06,2019,119243.5,2969609,2539747.4
06,2020,113508.9,2930654.6,2770488.8
06,2021,114963.6,3151112.5,3019215.7
06,2022,106070.6,3147211.4,3021645.5
06,2023,101578.9,3204016.4,3182779.3
08,2015,18169.9,330526.1,279696
08,2016,19568.7,337685.2,283678.7
08,2017,20895.7,350209.1,303366.7
08,2018,22141.5,365204.5,328112.7
08,2019,22811.9,383725.6,351476
08,2020,22723.7,380544,374449.3
08,2021,22994,406309.2,418190.2
08,2022,21745.4,422576.1,448676.8
08,2023,21178.5,440225.2,473104.6
09,2015,7643,268869.8,239184.9
09,2016,7726.7,268196.2,243698.7
09,2017,7547.7,273875.1,249451.1
09,2018,7498,274582.8,260582.2
09,2019,7491.8,275225.4,267564.2
09,2020,7141.2,261737.1,275029.8
09,2021,7164.5,270779.8,296291.5
09,2022,6732.5,279348.5,309011.4
09,2023,6744.1,283228.5,328729.9
10,2015,2473.9,76211.2,44626.3
10,2016,2536.3,71941.4,45928.4
10,2017,2597,69555.6,48077.1
10,2018,2630.4,70856.4,51150.4
10,2019,2735.4,74627.8,52774.4
10,2020,2715.6,72728.8,55069.8
10,2021,2769.8,75205.5,60175.9
10,2022,2503.5,81111.8,65386.9
10,2023,2525.4,82090.9,66943.8
12,2015,43128.4,945929,905450.5
12,2016,49139.1,978989.7,938985.6
12,2017,53428,1014866.9,1011002.2
12,2018,57752.4,1050433.8,1078010.6
12,2019,59323.5,1084913.9,1145938.8
12,2020,60376,1072481.6,1222053.4
12,2021,62616.5,1172655.3,1367061.9
12,2022,58886.6,1245927.6,1464251
12,2023,60251.7,1309392.2,1604650.3
13,2015,21649.9,540108.5,423242
13,2016,24084.5,561718.3,441039.1
13,2017,25738.8,583543.3,467592.5
13,2018,27464.8,600934.7,491088
13,2019,28610.5,620744.9,516504.2
13,2020,28903.2,603202.5,552699.9
13,2021,30326.8,643748.4,607184.3
13,2022,29154.2,670107.2,627439
13,2023,29090.3,679447.2,663930.9
15,2015,4976.3,83857.6,68200.8
15,2016,5428.9,85670.4,70744.8
15,2017,5274.4,87436.4,73646.4
15,2018,5119.1,88836.4,75266.4
15,2019,5195.4,88855.2,78586.9
15,2020,5063.8,79696.8,82758.5
15,2021,4922.2,84532,88650.4
15,2022,4314.2,87491.2,91007.9
15,2023,4343.3,89642.2,96961.4
16,2015,3581.2,67790.5,64564.3
16,2016,3703.6,70442.5,67294.1
