state_fips,year,housing_units_authorized,housing_units_reported,permits_include_census_imputation,permits_universe_change
01,2015,14054,13096,TRUE,FALSE
01,2016,15001,14278,TRUE,FALSE
01,2017,14799,13245,TRUE,FALSE
01,2018,14824,13414,TRUE,FALSE
01,2019,17748,17237,TRUE,FALSE
01,2020,19982,17023,TRUE,FALSE
01,2021,22100,19686,TRUE,FALSE
01,2022,19499,16793,TRUE,FALSE
01,2023,20337,17974,TRUE,TRUE
02,2015,1298,454,TRUE,FALSE
02,2016,1503,558,TRUE,FALSE
02,2017,1539,486,TRUE,FALSE
02,2018,1677,564,TRUE,FALSE
02,2019,1680,621,TRUE,FALSE
02,2020,1420,535,TRUE,FALSE
02,2021,1552,383,TRUE,FALSE
02,2022,578,538,TRUE,FALSE
02,2023,937,894,TRUE,TRUE
04,2015,28910,28216,TRUE,FALSE
04,2016,35578,34891,TRUE,FALSE
04,2017,39472,39208,TRUE,FALSE
04,2018,41664,40228,TRUE,FALSE
04,2019,46580,44983,TRUE,FALSE
04,2020,60342,57092,TRUE,FALSE
04,2021,65334,61372,TRUE,FALSE
04,2022,61531,57835,TRUE,FALSE
04,2023,58433,53980,TRUE,TRUE
05,2015,8500,7801,TRUE,FALSE
05,2016,9474,8260,TRUE,FALSE
05,2017,10795,9583,TRUE,FALSE
05,2018,10179,8287,TRUE,FALSE
05,2019,12723,11184,TRUE,FALSE
05,2020,12493,10392,TRUE,FALSE
05,2021,14198,11960,TRUE,FALSE
05,2022,14364,12246,TRUE,FALSE
05,2023,12842,10821,TRUE,TRUE
06,2015,98188,93924,TRUE,FALSE
06,2016,102350,97359,TRUE,FALSE
06,2017,114780,108549,TRUE,FALSE
06,2018,113502,106896,TRUE,FALSE
06,2019,110197,106133,TRUE,FALSE
06,2020,106075,94957,TRUE,FALSE
06,2021,119436,113698,TRUE,FALSE
06,2022,120780,116409,TRUE,FALSE
06,2023,111760,105183,TRUE,TRUE
08,2015,31871,31040,TRUE,FALSE
08,2016,38974,37621,TRUE,FALSE
08,2017,40673,39654,TRUE,FALSE
08,2018,42627,41151,TRUE,FALSE
08,2019,38633,38156,TRUE,FALSE
08,2020,40469,38833,TRUE,FALSE
08,2021,56524,54364,TRUE,FALSE
08,2022,48341,46869,TRUE,FALSE
08,2023,39404,37954,TRUE,TRUE
09,2015,6077,5255,TRUE,FALSE
09,2016,5504,4966,TRUE,FALSE
09,2017,4547,3853,TRUE,FALSE
09,2018,4815,4014,TRUE,FALSE
09,2019,5854,5296,TRUE,FALSE
09,2020,5471,4510,TRUE,FALSE
09,2021,4651,3683,TRUE,FALSE
09,2022,5926,5293,TRUE,FALSE
09,2023,6272,5889,TRUE,TRUE
10,2015,5221,5097,TRUE,FALSE
10,2016,5804,5668,TRUE,FALSE
10,2017,6601,6286,TRUE,FALSE
10,2018,6003,5729,TRUE,FALSE
10,2019,6539,6519,TRUE,FALSE
10,2020,8455,7271,TRUE,FALSE
10,2021,8500,8474,TRUE,FALSE
10,2022,6417,6417,TRUE,FALSE
10,2023,5765,5760,TRUE,TRUE
12,2015,109924,107041,TRUE,FALSE
12,2016,116240,112774,TRUE,FALSE
12,2017,122719,117398,TRUE,FALSE
12,2018,144427,134567,TRUE,FALSE
12,2019,154302,147185,TRUE,FALSE
12,2020,164074,152613,TRUE,FALSE
12,2021,213494,204359,TRUE,FALSE
12,2022,209961,201528,TRUE,FALSE
12,2023,193788,177714,TRUE,TRUE
13,2015,45549,41280,TRUE,FALSE
13,2016,51675,49036,TRUE,FALSE
13,2017,51240,47089,TRUE,FALSE
13,2018,59315,53286,TRUE,FALSE
13,2019,53823,50260,TRUE,FALSE
13,2020,55827,49959,TRUE,FALSE
13,2021,67223,59453,TRUE,FALSE
13,2022,77542,72334,TRUE,FALSE
13,2023,63621,56452,TRUE,TRUE
15,2015,5422,5422,TRUE,FALSE
15,2016,3369,3369,TRUE,FALSE
15,2017,4035,4035,TRUE,FALSE
15,2018,4659,4659,TRUE,FALSE
15,2019,4093,4093,TRUE,FALSE
15,2020,3164,2472,TRUE,FALSE
15,2021,3459,3459,TRUE,FALSE
15,2022,4303,4303,TRUE,FALSE
15,2023,3791,2686,TRUE,TRUE
16,2015,9954,9735,TRUE,FALSE
16,2016,12165,11895,TRUE,FALSE
16,2017,14183,13260,TRUE,FALSE
16,2018,15824,14334,TRUE,FALSE
16,2019,17716,17490,TRUE,FALSE
16,2020,19130,17993,TRUE,FALSE
16,2021,21732,20734,TRUE,FALSE
16,2022,18706,17652,TRUE,FALSE
16,2023,17919,16866,TRUE,TRUE
17,2015,19571,18267,TRUE,FALSE
17,2016,22603,21418,TRUE,FALSE
17,2017,24992,23618,TRUE,FALSE
17,2018,21510,20214,TRUE,FALSE
17,2019,20524,19735,TRUE,FALSE
17,2020,18058,16700,TRUE,FALSE
17,2021,19658,18542,TRUE,FALSE
17,2022,20549,19688,TRUE,FALSE
17,2023,16863,15725,TRUE,TRUE
18,2015,18483,17410,TRUE,FALSE
18,2016,18713,17283,TRUE,FALSE
18,2017,21664,20392,TRUE,FALSE
18,2018,21480,20021,TRUE,FALSE
18,2019,22309,21369,TRUE,FALSE
18,2020,24919,22776,TRUE,FALSE
18,2021,29860,28349,TRUE,FALSE
18,2022,28245,26930,TRUE,FALSE
18,2023,27055,25507,TRUE,TRUE
19,2015,12097,11708,TRUE,FALSE
19,2016,14317,13806,TRUE,FALSE
19,2017,13948,13499,TRUE,FALSE
19,2018,11518,10980,TRUE,FALSE
19,2019,11870,11182,TRUE,FALSE
19,2020,12623,11679,TRUE,FALSE
19,2021,13686,12751,TRUE,FALSE
19,2022,12704,11932,TRUE,FALSE
19,2023,11230,10554,TRUE,TRUE
20,2015,8644,8184,TRUE,FALSE
20,2016,9807,8123,TRUE,FALSE
20,2017,8984,7985,TRUE,FALSE
20,2018,9478,8236,TRUE,FALSE
20,2019,7961,6524,TRUE,FALSE
20,2020,8211,7721,TRUE,FALSE
20,2021,9538,9308,TRUE,FALSE
20,2022,9560,9086,TRUE,FALSE
20,2023,9504,9269,TRUE,TRUE
21,2015,10566,8753,TRUE,FALSE
21,2016,12714,11499,TRUE,FALSE
21,2017,12630,10690,TRUE,FALSE
21,2018,13826,12098,TRUE,FALSE
21,2019,11811,11090,TRUE,FALSE
21,2020,11281,8930,TRUE,FALSE
21,2021,14841,12384,TRUE,FALSE
21,2022,15078,12834,TRUE,FALSE
21,2023,15415,13049,TRUE,TRUE
22,2015,13830,12115,TRUE,FALSE
22,2016,14503,12971,TRUE,FALSE
22,2017,15224,12799,TRUE,FALSE
22,2018,15835,12881,TRUE,FALSE
22,2019,15793,14664,TRUE,FALSE
22,2020,17283,14246,TRUE,FALSE
22,2021,19147,15132,TRUE,FALSE
22,2022,15544,13245,TRUE,FALSE
22,2023,14247,11040,TRUE,TRUE
23,2015,3699,2904,TRUE,FALSE
23,2016,4010,3340,TRUE,FALSE
23,2017,4358,3529,TRUE,FALSE
23,2018,4697,3820,TRUE,FALSE
23,2019,4760,3849,TRUE,FALSE
23,2020,5304,3522,TRUE,FALSE
23,2021,6530,4816,TRUE,FALSE
23,2022,7094,5443,TRUE,FALSE
23,2023,6183,4048,TRUE,TRUE
24,2015,17057,17016,TRUE,FALSE
24,2016,17044,16947,TRUE,FALSE
24,2017,16224,15938,TRUE,FALSE
24,2018,18647,18591,TRUE,FALSE
24,2019,18491,18356,TRUE,FALSE
24,2020,17982,17609,TRUE,FALSE
24,2021,18496,18216,TRUE,FALSE
24,2022,22860,22827,TRUE,FALSE
24,2023,18453,18355,TRUE,TRUE
25,2015,17424,14908,TRUE,FALSE
25,2016,16288,13885,TRUE,FALSE
25,2017,17728,15441,TRUE,FALSE
25,2018,17044,14035,TRUE,FALSE
25,2019,17365,14220,TRUE,FALSE
25,2020,17025,11350,TRUE,FALSE
25,2021,19853,14558,TRUE,FALSE
25,2022,16830,13972,TRUE,FALSE
25,2023,13214,11556,TRUE,TRUE
26,2015,18226,16374,TRUE,FALSE
26,2016,20408,18017,TRUE,FALSE
26,2017,23623,21184,TRUE,FALSE
26,2018,19580,17913,TRUE,FALSE
26,2019,20600,18361,TRUE,FALSE
26,2020,19735,16524,TRUE,FALSE
26,2021,21732,18533,TRUE,FALSE
26,2022,21780,19402,TRUE,FALSE
26,2023,20592,17897,TRUE,TRUE
27,2015,19545,18654,TRUE,FALSE
27,2016,21449,20264,TRUE,FALSE
27,2017,21953,20879,TRUE,FALSE
27,2018,25673,24637,TRUE,FALSE
27,2019,28586,27917,TRUE,FALSE
27,2020,28148,27049,TRUE,FALSE
27,2021,33652,32039,TRUE,FALSE
27,2022,31126,30015,TRUE,FALSE
27,2023,25667,24585,TRUE,TRUE
28,2015,6845,5074,TRUE,FALSE
28,2016,6886,4871,TRUE,FALSE
28,2017,7481,5647,TRUE,FALSE
28,2018,6883,5112,TRUE,FALSE
28,2019,6952,5569,TRUE,FALSE
28,2020,7810,5654,TRUE,FALSE
28,2021,7988,6086,TRUE,FALSE
28,2022,7568,6290,TRUE,FALSE
28,2023,7700,6393,TRUE,TRUE
29,2015,18344,16515,TRUE,FALSE
29,2016,18997,17877,TRUE,FALSE
29,2017,18811,17371,TRUE,FALSE
29,2018,16875,15671,TRUE,FALSE
29,2019,17460,15852,TRUE,FALSE
29,2020,19839,18647,TRUE,FALSE
29,2021,21372,20616,TRUE,FALSE
29,2022,20901,19985,TRUE,FALSE
29,2023,16781,15716,TRUE,TRUE
30,2015,4826,4569,TRUE,FALSE
30,2016,4781,4616,TRUE,FALSE
30,2017,4932,3984,TRUE,FALSE
30,2018,5099,4093,TRUE,FALSE
30,2019,4776,3843,TRUE,FALSE
30,2020,5980,5018,TRUE,FALSE
30,2021,7272,5886,TRUE,FALSE
30,2022,6460,4936,TRUE,FALSE
30,2023,4307,3017,TRUE,TRUE
31,2015,8096,7035,TRUE,FALSE
31,2016,8078,5838,TRUE,FALSE
31,2017,8863,6407,TRUE,FALSE
31,2018,7866,7639,TRUE,FALSE
31,2019,8025,6102,TRUE,FALSE
31,2020,9483,7470,TRUE,FALSE
31,2021,10723,10480,TRUE,FALSE
31,2022,11115,10737,TRUE,FALSE
31,2023,8877,8728,TRUE,TRUE
32,2015,14083,14079,TRUE,FALSE
32,2016,17952,17924,TRUE,FALSE
32,2017,19544,19536,TRUE,FALSE
32,2018,17645,17636,TRUE,FALSE
32,2019,20143,20143,TRUE,FALSE
32,2020,19716,15676,TRUE,FALSE
32,2021,23406,18463,TRUE,FALSE
32,2022,20031,15503,TRUE,FALSE
32,2023,18451,14347,TRUE,TRUE
