state_fips,year,private_nonresidential_nominal_million_usd,private_nonresidential_nominal_million_usd_source_file,state_local_construction_nominal_million_usd,state_local_construction_nominal_million_usd_source_file
01,2015,2904,nrstatehs1,3569,slstatehs
01,2016,3090,nrstatehs1,3392,slstatehs
01,2017,3156,nrstatehs1,2874,slstatehs
01,2018,4165,nrstatehs1,3360,slstatehs
01,2019,4844,nrstatehs1,3802,slstatehs
01,2020,5855,nrstatehs1,3936,slstatehs
01,2021,5083,nrstatehs1,3025,slstatehs
01,2022,4657,nrstate,3949,slstate
01,2023,7006,nrstate,4841,slstate
02,2015,475,nrstatehs1,3263,slstatehs
02,2016,224,nrstatehs1,2618,slstatehs
02,2017,236,nrstatehs1,1586,slstatehs
02,2018,352,nrstatehs1,1352,slstatehs
02,2019,494,nrstatehs1,1494,slstatehs
02,2020,273,nrstatehs1,1232,slstatehs
02,2021,201,nrstatehs1,1537,slstatehs
02,2022,659,nrstate,1389,slstate
02,2023,483,nrstate,1949,slstate
04,2015,3498,nrstatehs1,2817,slstatehs
04,2016,4006,nrstatehs1,2824,slstatehs
04,2017,3944,nrstatehs1,4253,slstatehs
04,2018,5685,nrstatehs1,4169,slstatehs
04,2019,8287,nrstatehs1,4596,slstatehs
04,2020,9581,nrstatehs1,5197,slstatehs
04,2021,14250,nrstatehs1,4398,slstatehs
04,2022,33105,nrstate,4526,slstate
04,2023,46279,nrstate,4888,slstate
05,2015,2654,nrstatehs1,1976,slstatehs
05,2016,2319,nrstatehs1,2816,slstatehs
05,2017,2155,nrstatehs1,2586,slstatehs
05,2018,2257,nrstatehs1,3491,slstatehs
05,2019,3345,nrstatehs1,2223,slstatehs
05,2020,2820,nrstatehs1,2913,slstatehs
05,2021,2553,nrstatehs1,2827,slstatehs
05,2022,3634,nrstate,3145,slstate
05,2023,6047,nrstate,4853,slstate
06,2015,19908,nrstatehs1,32749,slstatehs
06,2016,26305,nrstatehs1,30438,slstatehs
06,2017,30230,nrstatehs1,32872,slstatehs
06,2018,30416,nrstatehs1,37287,slstatehs
06,2019,25729,nrstatehs1,41249,slstatehs
06,2020,22429,nrstatehs1,44735,slstatehs
06,2021,24497,nrstatehs1,45622,slstatehs
06,2022,33989,nrstate,45931,slstate
06,2023,35930,nrstate,46676,slstate
08,2015,5821,nrstatehs1,4717,slstatehs
08,2016,7040,nrstatehs1,5323,slstatehs
08,2017,7424,nrstatehs1,7190,slstatehs
08,2018,6555,nrstatehs1,6807,slstatehs
08,2019,6158,nrstatehs1,5663,slstatehs
08,2020,6649,nrstatehs1,7025,slstatehs
08,2021,6287,nrstatehs1,6322,slstatehs
08,2022,7589,nrstate,6463,slstate
08,2023,8338,nrstate,7577,slstate
09,2015,1920,nrstatehs1,3304,slstatehs
09,2016,1933,nrstatehs1,3242,slstatehs
09,2017,2011,nrstatehs1,2398,slstatehs
09,2018,2325,nrstatehs1,2695,slstatehs
09,2019,2627,nrstatehs1,2852,slstatehs
09,2020,2838,nrstatehs1,2903,slstatehs
09,2021,2048,nrstatehs1,2857,slstatehs
09,2022,1895,nrstate,2860,slstate
09,2023,2828,nrstate,3446,slstate
10,2015,478,nrstatehs1,748,slstatehs
10,2016,667,nrstatehs1,801,slstatehs
10,2017,1034,nrstatehs1,899,slstatehs
10,2018,1206,nrstatehs1,1067,slstatehs
10,2019,1476,nrstatehs1,979,slstatehs
10,2020,1225,nrstatehs1,776,slstatehs
10,2021,1300,nrstatehs1,929,slstatehs
10,2022,1220,nrstate,1253,slstate
10,2023,1297,nrstate,1733,slstate
12,2015,12741,nrstatehs1,12227,slstatehs
12,2016,14298,nrstatehs1,12846,slstatehs
12,2017,16886,nrstatehs1,13446,slstatehs
12,2018,19746,nrstatehs1,13943,slstatehs
12,2019,23824,nrstatehs1,15617,slstatehs
12,2020,23864,nrstatehs1,16546,slstatehs
12,2021,23031,nrstatehs1,17076,slstatehs
12,2022,31541,nrstate,18081,slstate
12,2023,35729,nrstate,23950,slstate
13,2015,7782,nrstatehs1,5607,slstatehs
13,2016,8726,nrstatehs1,6840,slstatehs
13,2017,9248,nrstatehs1,6620,slstatehs
13,2018,9420,nrstatehs1,7938,slstatehs
13,2019,11115,nrstatehs1,8665,slstatehs
13,2020,10858,nrstatehs1,7974,slstatehs
13,2021,10320,nrstatehs1,7661,slstatehs
13,2022,16901,nrstate,9303,slstate
13,2023,29207,nrstate,11510,slstate
15,2015,1740,nrstatehs1,2310,slstatehs
15,2016,1737,nrstatehs1,2196,slstatehs
15,2017,1525,nrstatehs1,2390,slstatehs
15,2018,1454,nrstatehs1,2972,slstatehs
15,2019,1021,nrstatehs1,3256,slstatehs
15,2020,876,nrstatehs1,3113,slstatehs
15,2021,523,nrstatehs1,2263,slstatehs
15,2022,598,nrstate,2244,slstate
15,2023,956,nrstate,3153,slstate
16,2015,931,nrstatehs1,662,slstatehs
16,2016,1394,nrstatehs1,992,slstatehs
16,2017,1338,nrstatehs1,1148,slstatehs
16,2018,1609,nrstatehs1,1262,slstatehs
16,2019,1664,nrstatehs1,1166,slstatehs
16,2020,1697,nrstatehs1,1358,slstatehs
16,2021,2178,nrstatehs1,1215,slstatehs
16,2022,3487,nrstate,1738,slstate
16,2023,6242,nrstate,2026,slstate
17,2015,9976,nrstatehs1,10828,slstatehs
17,2016,9748,nrstatehs1,9893,slstatehs
17,2017,8799,nrstatehs1,9416,slstatehs
17,2018,8989,nrstatehs1,9095,slstatehs
17,2019,8761,nrstatehs1,9351,slstatehs
17,2020,8542,nrstatehs1,12209,slstatehs
17,2021,8855,nrstatehs1,12497,slstatehs
17,2022,10463,nrstate,12688,slstate
17,2023,12452,nrstate,14974,slstate
18,2015,6269,nrstatehs1,4785,slstatehs
18,2016,5232,nrstatehs1,5625,slstatehs
18,2017,5824,nrstatehs1,4292,slstatehs
18,2018,5718,nrstatehs1,5037,slstatehs
18,2019,6452,nrstatehs1,5751,slstatehs
18,2020,6511,nrstatehs1,6650,slstatehs
18,2021,5656,nrstatehs1,6103,slstatehs
18,2022,7701,nrstate,6862,slstate
18,2023,11824,nrstate,9036,slstate
19,2015,7399,nrstatehs1,4699,slstatehs
19,2016,6193,nrstatehs1,4338,slstatehs
19,2017,5037,nrstatehs1,3551,slstatehs
19,2018,5154,nrstatehs1,3203,slstatehs
19,2019,4155,nrstatehs1,4670,slstatehs
19,2020,4793,nrstatehs1,5675,slstatehs
19,2021,4704,nrstatehs1,4745,slstatehs
19,2022,5797,nrstate,4599,slstate
19,2023,5666,nrstate,5819,slstate
20,2015,2580,nrstatehs1,2723,slstatehs
20,2016,3127,nrstatehs1,3695,slstatehs
20,2017,3044,nrstatehs1,2324,slstatehs
20,2018,3442,nrstatehs1,2350,slstatehs
20,2019,3036,nrstatehs1,2785,slstatehs
20,2020,3274,nrstatehs1,3760,slstatehs
20,2021,3768,nrstatehs1,2817,slstatehs
20,2022,4850,nrstate,3346,slstate
20,2023,8407,nrstate,3951,slstate
21,2015,3744,nrstatehs1,4195,slstatehs
21,2016,4101,nrstatehs1,3633,slstatehs
21,2017,4400,nrstatehs1,3595,slstatehs
21,2018,4975,nrstatehs1,3673,slstatehs
21,2019,6458,nrstatehs1,3258,slstatehs
21,2020,5890,nrstatehs1,2454,slstatehs
21,2021,5535,nrstatehs1,2727,slstatehs
21,2022,7453,nrstate,3891,slstate
21,2023,9128,nrstate,4689,slstate
22,2015,14874,nrstatehs1,5200,slstatehs
22,2016,15254,nrstatehs1,3993,slstatehs
22,2017,15055,nrstatehs1,4265,slstatehs
22,2018,13259,nrstatehs1,3958,slstatehs
22,2019,10750,nrstatehs1,3129,slstatehs
22,2020,7120,nrstatehs1,3627,slstatehs
22,2021,5247,nrstatehs1,4336,slstatehs
22,2022,6818,nrstate,4996,slstate
22,2023,8744,nrstate,5797,slstate
23,2015,667,nrstatehs1,647,slstatehs
23,2016,495,nrstatehs1,542,slstatehs
23,2017,609,nrstatehs1,416,slstatehs
23,2018,605,nrstatehs1,705,slstatehs
23,2019,882,nrstatehs1,1403,slstatehs
23,2020,885,nrstatehs1,1505,slstatehs
23,2021,1189,nrstatehs1,1442,slstatehs
23,2022,1157,nrstate,1401,slstate
23,2023,935,nrstate,1572,slstate
24,2015,3809,nrstatehs1,5696,slstatehs
24,2016,4370,nrstatehs1,5764,slstatehs
24,2017,3569,nrstatehs1,5451,slstatehs
24,2018,4368,nrstatehs1,5023,slstatehs
24,2019,4429,nrstatehs1,5750,slstatehs
24,2020,4298,nrstatehs1,5579,slstatehs
24,2021,4260,nrstatehs1,5043,slstatehs
24,2022,5084,nrstate,5951,slstate
24,2023,5599,nrstate,6570,slstate
25,2015,8032,nrstatehs1,7346,slstatehs
25,2016,8868,nrstatehs1,6260,slstatehs
25,2017,11080,nrstatehs1,5891,slstatehs
25,2018,11720,nrstatehs1,5985,slstatehs
25,2019,11285,nrstatehs1,6977,slstatehs
25,2020,11310,nrstatehs1,7815,slstatehs
25,2021,13288,nrstatehs1,7906,slstatehs
25,2022,13715,nrstate,8512,slstate
25,2023,13909,nrstate,9563,slstate
26,2015,6498,nrstatehs1,6038,slstatehs
26,2016,7188,nrstatehs1,5224,slstatehs
26,2017,7417,nrstatehs1,5636,slstatehs
26,2018,7369,nrstatehs1,5291,slstatehs
26,2019,8981,nrstatehs1,5474,slstatehs
26,2020,8429,nrstatehs1,7499,slstatehs
26,2021,6787,nrstatehs1,8170,slstatehs
26,2022,8273,nrstate,7639,slstate
26,2023,12355,nrstate,10357,slstate
27,2015,4939,nrstatehs1,6806,slstatehs
27,2016,4564,nrstatehs1,7260,slstatehs
27,2017,4555,nrstatehs1,6726,slstatehs
27,2018,5104,nrstatehs1,6477,slstatehs
27,2019,5877,nrstatehs1,8125,slstatehs
27,2020,5170,nrstatehs1,9009,slstatehs
27,2021,4455,nrstatehs1,8683,slstatehs
27,2022,5662,nrstate,9532,slstate
27,2023,5716,nrstate,9124,slstate
28,2015,1902,nrstatehs1,1509,slstatehs
