fhwa_state_token,year,highway_capital_outlays_nominal_thousand_usd,highway_construction_preservation_nominal_thousand_usd,state_fips,fhwa_reported_year,fhwa_footnote,fhwa_year_matches,fhwa_provenance
Alabama,2015,827758,764600,01,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2016,777419,736635,01,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2017,792071,733694,01,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2018,1606033,25492,01,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2019,1387759,930440,01,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2020,1153775,692566,01,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2021,925510,591614,01,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2022,1266049,1225238,01,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alabama,2023,968233,939928,01,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2015,792549,582065,02,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2016,899986,786625,02,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska  3/,2017,899986,786625,02,2016,3,FALSE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2018,711226,559333,02,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2019,767574,612999,02,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2020,608948,484978,02,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2021,724483,569206,02,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2022,702933,553468,02,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Alaska,2023,778710,682923,02,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2015,786634,639113,04,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2016,1054975,710522,04,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2017,996308,746996,04,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2018,1106242,848157,04,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2019,1375627,1234567,04,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2020,1084251,902722,04,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2021,857953,667115,04,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2022,907115,711386,04,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arizona,2023,1045462,849750,04,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arkansas,2015,853322,724009,05,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arkansas,2016,927320,785039,05,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arkansas,2017,1225591,1073072,05,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arkansas,2018,1200279,1060915,05,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Arkansas,2019,919783,802429,05,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
