state_fips,year,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,msha_no_qualifying_activity,msha_uses_current_commodity,msha_activity_not_rated_capacity
01,2015,68,659,1421475,68,FALSE,TRUE,TRUE
01,2016,70,697,1488612,70,FALSE,TRUE,TRUE
01,2017,69,663,1440006,69,FALSE,TRUE,TRUE
01,2018,74,677,1429150,74,FALSE,TRUE,TRUE
01,2019,75,731,1571504,75,FALSE,TRUE,TRUE
01,2020,74,740,1545264,74,FALSE,TRUE,TRUE
01,2021,76,752,1623449,76,FALSE,TRUE,TRUE
01,2022,78,797,1709666,78,FALSE,TRUE,TRUE
01,2023,80,831,1740619,80,FALSE,TRUE,TRUE
02,2015,27,108,88933,27,FALSE,TRUE,TRUE
02,2016,20,80,90436,20,FALSE,TRUE,TRUE
02,2017,24,102,120197,24,FALSE,TRUE,TRUE
02,2018,22,109,180021,22,FALSE,TRUE,TRUE
02,2019,20,125,179097,20,FALSE,TRUE,TRUE
02,2020,22,110,111102,22,FALSE,TRUE,TRUE
02,2021,18,90,66807,18,FALSE,TRUE,TRUE
02,2022,19,66,47882,19,FALSE,TRUE,TRUE
02,2023,19,72,60315,19,FALSE,TRUE,TRUE
04,2015,63,515,1013293,63,FALSE,TRUE,TRUE
04,2016,64,513,1026507,64,FALSE,TRUE,TRUE
04,2017,64,507,965443,64,FALSE,TRUE,TRUE
04,2018,62,505,968167,62,FALSE,TRUE,TRUE
04,2019,62,505,990933,62,FALSE,TRUE,TRUE
04,2020,59,491,948101,59,FALSE,TRUE,TRUE
04,2021,60,514,991799,60,FALSE,TRUE,TRUE
04,2022,57,521,1046952,57,FALSE,TRUE,TRUE
04,2023,56,462,858649,56,FALSE,TRUE,TRUE
05,2015,91,856,1793323,91,FALSE,TRUE,TRUE
05,2016,94,836,1775837,94,FALSE,TRUE,TRUE
05,2017,89,822,1775624,89,FALSE,TRUE,TRUE
05,2018,87,823,1724492,87,FALSE,TRUE,TRUE
05,2019,88,784,1647083,88,FALSE,TRUE,TRUE
05,2020,86,825,1706905,86,FALSE,TRUE,TRUE
05,2021,87,836,1746039,87,FALSE,TRUE,TRUE
05,2022,88,844,1773151,88,FALSE,TRUE,TRUE
05,2023,92,806,1679366,92,FALSE,TRUE,TRUE
06,2015,117,984,1796176,117,FALSE,TRUE,TRUE
06,2016,118,991,1866024,118,FALSE,TRUE,TRUE
06,2017,121,1061,2019858,121,FALSE,TRUE,TRUE
06,2018,116,1067,2036583,116,FALSE,TRUE,TRUE
06,2019,117,1087,2023657,117,FALSE,TRUE,TRUE
06,2020,116,1051,1934011,116,FALSE,TRUE,TRUE
06,2021,111,1001,1862082,111,FALSE,TRUE,TRUE
06,2022,109,1020,1975358,109,FALSE,TRUE,TRUE
06,2023,109,1067,2062269,109,FALSE,TRUE,TRUE
08,2015,41,405,809368,41,FALSE,TRUE,TRUE
08,2016,43,437,864569,43,FALSE,TRUE,TRUE
08,2017,44,458,926039,44,FALSE,TRUE,TRUE
08,2018,44,432,833946,44,FALSE,TRUE,TRUE
08,2019,41,403,794904,41,FALSE,TRUE,TRUE
08,2020,40,402,774586,40,FALSE,TRUE,TRUE
08,2021,39,409,818975,39,FALSE,TRUE,TRUE
08,2022,36,404,789522,36,FALSE,TRUE,TRUE
08,2023,33,404,802599,33,FALSE,TRUE,TRUE
09,2015,44,274,496150,44,FALSE,TRUE,TRUE
09,2016,48,330,594619,48,FALSE,TRUE,TRUE
09,2017,50,369,588978,50,FALSE,TRUE,TRUE
09,2018,48,337,573322,48,FALSE,TRUE,TRUE
09,2019,50,324,569291,50,FALSE,TRUE,TRUE
09,2020,50,325,551297,50,FALSE,TRUE,TRUE
09,2021,51,332,559774,51,FALSE,TRUE,TRUE
09,2022,51,345,639394,51,FALSE,TRUE,TRUE
09,2023,55,378,664446,55,FALSE,TRUE,TRUE
10,2015,0,0,0,0,TRUE,TRUE,TRUE
10,2016,0,0,0,0,TRUE,TRUE,TRUE
10,2017,0,0,0,0,TRUE,TRUE,TRUE
10,2018,0,0,0,0,TRUE,TRUE,TRUE
10,2019,0,0,0,0,TRUE,TRUE,TRUE
10,2020,0,0,0,0,TRUE,TRUE,TRUE
10,2021,0,0,0,0,TRUE,TRUE,TRUE
10,2022,0,0,0,0,TRUE,TRUE,TRUE
10,2023,0,0,0,0,TRUE,TRUE,TRUE
12,2015,78,977,2287072,78,FALSE,TRUE,TRUE
12,2016,81,1041,2456130,81,FALSE,TRUE,TRUE
12,2017,82,1106,2572466,82,FALSE,TRUE,TRUE
12,2018,80,1127,2674687,80,FALSE,TRUE,TRUE
12,2019,78,1181,2763374,78,FALSE,TRUE,TRUE
12,2020,74,1167,2744093,74,FALSE,TRUE,TRUE
12,2021,76,1214,2852827,76,FALSE,TRUE,TRUE
12,2022,71,1190,2962597,71,FALSE,TRUE,TRUE
12,2023,73,1284,3143764,73,FALSE,TRUE,TRUE
