year,target_source_token,crushed_stone_sold_used_metric_tons,target_withheld,target_includes_agency_estimates,state_fips
2015,35300000,35300000,FALSE,TRUE,01
2016,37500000,37500000,FALSE,TRUE,01
2017,37600000,37600000,FALSE,TRUE,01
2018,36900000,36900000,FALSE,TRUE,01
2019,41100000,41100000,FALSE,TRUE,01
2020,40700000,40700000,FALSE,TRUE,01
2021,43800000,43800000,FALSE,TRUE,01
2022,43600000,43600000,FALSE,TRUE,01
2023,43300000,43300000,FALSE,TRUE,01
2015,1040000,1040000,FALSE,TRUE,02
2016,760000,760000,FALSE,TRUE,02
2017,1050000,1050000,FALSE,TRUE,02
2018,1400000,1400000,FALSE,TRUE,02
2019,1540000,1540000,FALSE,TRUE,02
2020,1530000,1530000,FALSE,TRUE,02
2021,807000,807000,FALSE,TRUE,02
2022,541000,541000,FALSE,TRUE,02
2023,589000,589000,FALSE,TRUE,02
2015,10300000,10300000,FALSE,TRUE,04
2016,9410000,9410000,FALSE,TRUE,04
2017,9810000,9810000,FALSE,TRUE,04
2018,11800000,11800000,FALSE,TRUE,04
2019,10900000,10900000,FALSE,TRUE,04
2020,11000000,11000000,FALSE,TRUE,04
2021,11400000,11400000,FALSE,TRUE,04
2022,11200000,11200000,FALSE,TRUE,04
2023,13400000,13400000,FALSE,TRUE,04
2015,27800000,27800000,FALSE,TRUE,05
2016,29400000,29400000,FALSE,TRUE,05
2017,30900000,30900000,FALSE,TRUE,05
2018,29000000,29000000,FALSE,TRUE,05
2019,29600000,29600000,FALSE,TRUE,05
2020,31100000,31100000,FALSE,TRUE,05
2021,34100000,34100000,FALSE,TRUE,05
2022,31800000,31800000,FALSE,TRUE,05
2023,33000000,33000000,FALSE,TRUE,05
2015,38200000,38200000,FALSE,TRUE,06
2016,37100000,37100000,FALSE,TRUE,06
2017,39700000,39700000,FALSE,TRUE,06
2018,41100000,41100000,FALSE,TRUE,06
2019,41900000,41900000,FALSE,TRUE,06
2020,40300000,40300000,FALSE,TRUE,06
2021,38300000,38300000,FALSE,TRUE,06
2022,40400000,40400000,FALSE,TRUE,06
2023,41500000,41500000,FALSE,TRUE,06
2015,14900000,14900000,FALSE,TRUE,08
2016,15400000,15400000,FALSE,TRUE,08
2017,15500000,15500000,FALSE,TRUE,08
2018,14800000,14800000,FALSE,TRUE,08
2019,16600000,16600000,FALSE,TRUE,08
2020,17300000,17300000,FALSE,TRUE,08
2021,17000000,17000000,FALSE,TRUE,08
2022,17200000,17200000,FALSE,TRUE,08
2023,15700000,15700000,FALSE,TRUE,08
2015,9360000,9360000,FALSE,TRUE,09
2016,9480000,9480000,FALSE,TRUE,09
2017,9830000,9830000,FALSE,TRUE,09
2018,9520000,9520000,FALSE,TRUE,09
