state_fips,state,year,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct
01,Alabama,2015,8009.1,millions_of_chained_2017_dollars,6,
01,Alabama,2016,8509.7,millions_of_chained_2017_dollars,6,6.25039018116893
01,Alabama,2017,8824.8,millions_of_chained_2017_dollars,6,3.7028332373644
01,Alabama,2018,9193.6,millions_of_chained_2017_dollars,6,4.179131538391823
01,Alabama,2019,9821.6,millions_of_chained_2017_dollars,6,6.8308388444135115
01,Alabama,2020,10006.9,millions_of_chained_2017_dollars,6,1.8866579783334725
01,Alabama,2021,10365.4,millions_of_chained_2017_dollars,6,3.5825280556416095
01,Alabama,2022,9693.1,millions_of_chained_2017_dollars,6,-6.486001505007033
01,Alabama,2023,9877.3,millions_of_chained_2017_dollars,6,1.9003208467879062
02,Alaska,2015,2708.7,millions_of_chained_2017_dollars,6,
02,Alaska,2016,2550.2,millions_of_chained_2017_dollars,6,-5.851515487134051
02,Alaska,2017,2445,millions_of_chained_2017_dollars,6,-4.125166653595791
02,Alaska,2018,2500.5,millions_of_chained_2017_dollars,6,2.2699386503067576
02,Alaska,2019,2560,millions_of_chained_2017_dollars,6,2.3795240951809626
02,Alaska,2020,2467.7,millions_of_chained_2017_dollars,6,-3.605468750000007
02,Alaska,2021,2374.9,millions_of_chained_2017_dollars,6,-3.76058678121326
02,Alaska,2022,2106.8,millions_of_chained_2017_dollars,6,-11.28889637458419
02,Alaska,2023,2224.5,millions_of_chained_2017_dollars,6,5.58667172963736
04,Arizona,2015,12776.5,millions_of_chained_2017_dollars,6,
04,Arizona,2016,13918.7,millions_of_chained_2017_dollars,6,8.939850506789826
04,Arizona,2017,15520.3,millions_of_chained_2017_dollars,6,11.506821757779084
04,Arizona,2018,17030.5,millions_of_chained_2017_dollars,6,9.730482013878605
04,Arizona,2019,18334.7,millions_of_chained_2017_dollars,6,7.658025307536476
04,Arizona,2020,19960.8,millions_of_chained_2017_dollars,6,8.868975221847087
04,Arizona,2021,20707.7,millions_of_chained_2017_dollars,6,3.7418339946294843
04,Arizona,2022,21122.8,millions_of_chained_2017_dollars,6,2.004568348971625
04,Arizona,2023,22526.2,millions_of_chained_2017_dollars,6,6.644005529569941
05,Arkansas,2015,4550.6,millions_of_chained_2017_dollars,6,
05,Arkansas,2016,4698.3,millions_of_chained_2017_dollars,6,3.245725838350988
05,Arkansas,2017,4819.6,millions_of_chained_2017_dollars,6,2.5817849009216243
05,Arkansas,2018,4762.3,millions_of_chained_2017_dollars,6,-1.1888953440119532
05,Arkansas,2019,4859.8,millions_of_chained_2017_dollars,6,2.0473300716040477
05,Arkansas,2020,4970.9,millions_of_chained_2017_dollars,6,2.2861023087369814
05,Arkansas,2021,5200.5,millions_of_chained_2017_dollars,6,4.618881892615034
05,Arkansas,2022,4986.8,millions_of_chained_2017_dollars,6,-4.109220267281987
05,Arkansas,2023,5243.3,millions_of_chained_2017_dollars,6,5.14357904868854
06,California,2015,97403.7,millions_of_chained_2017_dollars,6,
06,California,2016,104378.3,millions_of_chained_2017_dollars,6,7.16050827637964
06,California,2017,110699.1,millions_of_chained_2017_dollars,6,6.05566482688451
06,California,2018,116056.6,millions_of_chained_2017_dollars,6,4.8396960770232145
06,California,2019,119243.5,millions_of_chained_2017_dollars,6,2.7459877335713756
06,California,2020,113508.9,millions_of_chained_2017_dollars,6,-4.80915102290691
06,California,2021,114963.6,millions_of_chained_2017_dollars,6,1.2815735153807406
06,California,2022,106070.6,millions_of_chained_2017_dollars,6,-7.735491929619465
06,California,2023,101578.9,millions_of_chained_2017_dollars,6,-4.234632405209371
08,Colorado,2015,18169.9,millions_of_chained_2017_dollars,6,
08,Colorado,2016,19568.7,millions_of_chained_2017_dollars,6,7.69844633157033
08,Colorado,2017,20895.7,millions_of_chained_2017_dollars,6,6.781237384190053
08,Colorado,2018,22141.5,millions_of_chained_2017_dollars,6,5.961992180209319
08,Colorado,2019,22811.9,millions_of_chained_2017_dollars,6,3.027798477971233
08,Colorado,2020,22723.7,millions_of_chained_2017_dollars,6,-0.3866403061560053
08,Colorado,2021,22994,millions_of_chained_2017_dollars,6,1.189506990498912
08,Colorado,2022,21745.4,millions_of_chained_2017_dollars,6,-5.430112203183435
08,Colorado,2023,21178.5,millions_of_chained_2017_dollars,6,-2.6069881446190935
09,Connecticut,2015,7643,millions_of_chained_2017_dollars,6,
09,Connecticut,2016,7726.7,millions_of_chained_2017_dollars,6,1.0951197173884486
09,Connecticut,2017,7547.7,millions_of_chained_2017_dollars,6,-2.3166422923110774
09,Connecticut,2018,7498,millions_of_chained_2017_dollars,6,-0.6584787418683846
09,Connecticut,2019,7491.8,millions_of_chained_2017_dollars,6,-0.08268871699119718
09,Connecticut,2020,7141.2,millions_of_chained_2017_dollars,6,-4.6797832296644355
09,Connecticut,2021,7164.5,millions_of_chained_2017_dollars,6,0.32627569596146433
09,Connecticut,2022,6732.5,millions_of_chained_2017_dollars,6,-6.029729918347404
09,Connecticut,2023,6744.1,millions_of_chained_2017_dollars,6,0.17229855180096454
10,Delaware,2015,2473.9,millions_of_chained_2017_dollars,6,
10,Delaware,2016,2536.3,millions_of_chained_2017_dollars,6,2.5223331581713193
10,Delaware,2017,2597,millions_of_chained_2017_dollars,6,2.393250009856862
10,Delaware,2018,2630.4,millions_of_chained_2017_dollars,6,1.2860993453985392
10,Delaware,2019,2735.4,millions_of_chained_2017_dollars,6,3.9917883211678884
10,Delaware,2020,2715.6,millions_of_chained_2017_dollars,6,-0.7238429480149189
10,Delaware,2021,2769.8,millions_of_chained_2017_dollars,6,1.9958756812490819
10,Delaware,2022,2503.5,millions_of_chained_2017_dollars,6,-9.614412592967003
10,Delaware,2023,2525.4,millions_of_chained_2017_dollars,6,0.8747753145596171
12,Florida,2015,43128.4,millions_of_chained_2017_dollars,6,
12,Florida,2016,49139.1,millions_of_chained_2017_dollars,6,13.936756290518538
12,Florida,2017,53428,millions_of_chained_2017_dollars,6,8.728080082866807
12,Florida,2018,57752.4,millions_of_chained_2017_dollars,6,8.093883357041264
12,Florida,2019,59323.5,millions_of_chained_2017_dollars,6,2.720406424668065
12,Florida,2020,60376,millions_of_chained_2017_dollars,6,1.7741704383591683
12,Florida,2021,62616.5,millions_of_chained_2017_dollars,6,3.71091162051147
12,Florida,2022,58886.6,millions_of_chained_2017_dollars,6,-5.956736642897642
