state_fips,state,year,region,division,crushed_stone_tons,crushed_stone_total_value,crushed_stone_unit_value,census_bps_time,region_code,division_code,census_bps_state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,capital_right_of_way,capital_engineering,capital_construction_preservation,capital_outlay_total,physical_maintenance,traffic_control_operations,snow_ice_removal,other_services,toll_collection_expenses,highway_traffic_services_total,general_administration,research_planning,administration_research_total,traffic_supervision,highway_safety_driver_education,vehicle_inspection,size_weight_enforcement,law_enforcement_safety_total,construction_employment_thousands,months_reported,series_id,real_gdp,personal_income,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct,private_nonresidential_spending_nominal_millions,state_local_construction_spending_nominal_millions,industrial_distillate_price_per_mmbtu,industrial_electricity_price_per_mmbtu,industrial_natural_gas_price_per_mmbtu,industrial_energy_price_per_mmbtu,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,lag_active_stone_mines,lag_stone_mine_employee_hours,mortgage_rate_pct,mortgage_rate_observations,cpi_index,inflation_pct,cpi_observations
01,Alabama,2015,South,East South Central,35300000,366000000,10.36,201599,3,6,Alabama,10257,10257,2094023,80,160,19716,51,190,19789,159,3447,283246,9384,9384,1934936,80,160,19716,49,184,19602,148,3368,281105,12930,50228,764600,827758,5184,24375,293,0,0,24668,187546,22885,210431,199684,39173,0,1848,240705,15.508333333333333,12,SMU01000002023700001,208950.3,187474.7,8009.1,millions_of_chained_2017_dollars,6,,2904,3569,13.63,17.68,3.98,7.74,68,659,1421475,68,,,3.850576923076923,52,237.00175,,12
01,Alabama,2016,South,East South Central,37500000,404000000,10.78,201699,3,6,Alabama,11692,11692,2341744,53,106,14961,64,232,25627,181,2971,340624,10985,10985,2214543,53,106,14961,62,225,25408,180,2962,340404,14544,26240,736635,777419,9553,20843,237,0,0,21080,189323,25292,214615,194038,35107,0,2036,231181,16.125,12,SMU01000002023700001,212862.8,190871.8,8509.7,millions_of_chained_2017_dollars,6,6.25039018116893,3090,3392,12.02,17.71,3.69,7.3,70,697,1488612,70,68,1421475,3.6540384615384616,52,240.00541666666663,1.2673605433996429,12
01,Alabama,2017,South,East South Central,37600000,410000000,10.9,201799,3,6,Alabama,12233,12233,2511065,83,166,15782,56,182,14819,88,2218,231109,11199,11199,2305461,69,138,9949,45,143,9799,54,1765,186344,14450,43927,733694,792071,10200,4804,36,0,0,4840,178291,19177,197468,193307,37206,0,2474,232987,17.05,12,SMU01000002023700001,216615.5,197963.8,8824.8,millions_of_chained_2017_dollars,6,3.7028332373644,3156,2874,14.63,18.05,4.109999999999999,7.69,69,663,1440006,69,70,1488612,3.989807692307692,52,245.121,2.131444950027195,12
01,Alabama,2018,South,East South Central,36900000,417000000,11.29,201899,3,6,Alabama,12978,12978,2753841,44,88,11251,44,160,28799,111,1598,252766,11934,11934,2550001,37,74,8293,31,113,23899,90,1293,223623,30443,1550098,25492,1606033,155632,9256,0,3777,0,13033,256726,24890,281616,63500,82607,0,2064,148171,17.241666666666667,12,SMU01000002023700001,220808.8,205674.2,9193.6,millions_of_chained_2017_dollars,6,4.179131538391823,4165,3360,17.979999999999997,17.62,4.109999999999999,7.72,74,677,1429150,74,69,1440006,4.544615384615384,52,251.0995,2.438999514525486,12
01,Alabama,2019,South,East South Central,41100000,529000000,12.86,201999,3,6,Alabama,14705,14705,3103068,75,150,19134,89,330,28860,92,2563,394209,14198,14198,3031718,75,150,19134,88,326,28735,92,2563,394209,12848,444471,930440,1387759,193070,9652,0,2172,0,11824,313911,22630,336541,123118,86227,0,2168,211513,17.575,12,SMU01000002023700001,225272.8,215151.8,9821.6,millions_of_chained_2017_dollars,6,6.8308388444135115,4844,3802,16.59,17.439999999999998,3.84,7.5,75,731,1571504,75,74,1429150,3.935769230769231,52,255.65258333333333,1.8132586219141489,12
01,Alabama,2020,South,East South Central,40700000,556000000,13.67,202099,3,6,Alabama,17551,17551,4024112,57,114,13920,52,192,18764,128,2125,301896,15339,15339,3584223,41,82,8988,12,43,9353,103,1559,207465,7144,454065,692566,1153775,46985,6675,0,6073,0,12748,516874,24764,541638,28500,124200,0,2304,155004,16.858333333333334,12,SMU01000002023700001,223025.5,230878.4,10006.9,millions_of_chained_2017_dollars,6,1.8866579783334725,5855,3936,11.53,17.21,3.44,6.88,74,740,1545264,74,75,1571504,3.111698113207547,53,258.85575,1.2529373358571627,12
01,Alabama,2021,South,East South Central,43800000,635000000,14.51,202199,3,6,Alabama,17879,17879,4323650,49,98,15617,55,199,16749,159,3924,460158,15471,15471,3807168,48,96,15579,54,195,16624,159,3924,460158,9920,323976,591614,925510,65449,36649,0,0,0,36649,440261,24871,465132,28500,113282,0,2675,144457,16.958333333333332,12,SMU01000002023700001,233951.1,255682.3,10365.4,millions_of_chained_2017_dollars,6,3.5825280556416095,5083,3025,17.74,18.54,4.71,8.11,76,752,1623449,76,74,1545264,2.9576923076923074,52,270.97341666666665,4.681242996018686,12
01,Alabama,2022,South,East South Central,43600000,687000000,15.739999999999998,202299,3,6,Alabama,15961,15961,4154464,114,228,27226,38,139,19461,111,3171,503273,13442,13442,3566341,110,220,25807,38,139,19461,101,2992,478899,14782,26029,1225238,1266049,28660,4074,1651,0,0,5725,392577,27543,420120,29700,36344,0,789,66833,18.275,12,SMU01000002023700001,239846.6,262425.8,9693.1,millions_of_chained_2017_dollars,6,-6.486001505007033,4657,3949,27.8,22.62,7.64,11.29,78,797,1709666,78,76,1623449,5.344038461538461,52,292.62641666666667,7.990820747791694,12
01,Alabama,2023,South,East South Central,43300000,757000000,17.48999999999999,202399,3,6,Alabama,16298,16298,4460009,134,268,39784,36,129,23406,150,3642,560513,14013,14013,3897032,134,268,39784,31,112,20815,146,3581,551132,5662,22643,939928,968233,31661,5285,1125,0,0,6410,377996,26580,404576,24700,70689,0,2173,97562,18.083333333333332,12,SMU01000002023700001,248313.7,279484.6,9877.3,millions_of_chained_2017_dollars,6,1.9003208467879065,7006,4841,22.42,20.82,4.4,9.36,80,831,1740619,80,78,1709666,6.806730769230769,52,304.703,4.12696279129503,12
02,Alaska,2015,West,Pacific,1040000,12100000,11.64,201599,4,9,Alaska,992,992,279454,35,70,9911,22,75,10273,19,161,24958,336,336,74740,33,66,9425,10,39,4001,2,13,1559,29169,181315,582065,792549,30975,16153,29278,0,150800,196231,63625,24852,88477,40619,3750,1565,1879,47813,,,,53681.1,41918.6,2708.7,millions_of_chained_2017_dollars,6,,475,3263,21.58,42.57,6.85,22.07,21,86,73608,21,,,3.850576923076923,52,237.00175,,12
02,Alaska,2016,West,Pacific,760000,15500000,20.39,201699,4,9,Alaska,1035,1035,301850,38,76,11849,26,88,12004,30,304,43339,303,303,73597,37,74,11617,14,51,5581,12,130,15831,26015,87346,786625,899986,58848,6472,20912,0,134800,162184,72552,27977,100529,39175,1842,1861,1755,44633,,,,53463.9,41285.5,2550.2,millions_of_chained_2017_dollars,6,-5.851515487134051,224,2618,16.37,44.6,5.05,18.73,16,64,67206,16,21,73608,3.6540384615384616,52,240.00541666666663,1.2673605433996429,12
02,Alaska,2017,West,Pacific,1050000,22300000,21.32,201799,4,9,Alaska,1127,1127,331420,48,96,14820,21,74,11374,26,242,38054,295,295,73939,47,94,14710,7,27,3209,7,70,10861,26015,87346,786625,899986,58848,6472,20912,0,134800,162184,72552,27977,100529,39175,1842,1861,1755,44633,,,,53550.9,41919.4,2445,millions_of_chained_2017_dollars,6,-4.125166653595791,236,1586,17.630000000000003,47.89,4.6899999999999995,20.16,19,74,57516,19,16,67206,3.989807692307692,52,245.121,2.131444950027195,12
02,Alaska,2018,West,Pacific,1400000,27800000,19.88,201899,4,9,Alaska,1227,1227,356698,55,110,17606,17,61,10096,29,279,44620,330,330,79013,54,108,17304,4,13,1759,10,113,18376,20918,130975,559333,711226,60423,5229,25339,0,147700,178268,68811,23498,92309,43028,4499,2014,1513,51054,,,,52479.6,43522.7,2500.5,millions_of_chained_2017_dollars,6,2.2699386503067576,352,1352,20.66,50.13,5.970000000000001,24.41,18,73,84884,18,19,57516,4.544615384615384,52,251.0995,2.438999514525486,12
02,Alaska,2019,West,Pacific,1540000,27700000,18.05,201999,4,9,Alaska,1147,1147,336955,27,54,8527,23,85,13497,41,394,53942,309,309,74441,27,54,8527,10,37,5159,21,221,26591,15819,138756,612999,767574,74236,9893,27092,0,147700,184685,22660,22645,45305,46042,4784,1947,1787,54560,,,,52377.5,44459.7,2560,millions_of_chained_2017_dollars,6,2.379524095180962,494,1494,16.630000000000003,49.66,5.95,20.89,16,83,80045,16,18,84884,3.935769230769231,52,255.65258333333333,1.8132586219141489,12
02,Alaska,2020,West,Pacific,1530000,14700000,9.59,202099,4,9,Alaska,1019,1019,310554,30,60,10477,24,86,14641,21,255,45684,286,286,83249,29,58,10171,14,50,8387,9,141,27661,21142,102828,484978,608948,78856,11190,30433,0,159970,201593,19906,31985,51891,54799,4541,2063,1898,63301,,,,50901.3,45375.8,2467.7,millions_of_chained_2017_dollars,6,-3.605468750000007,273,1232,11.61,46.56,4.91,17.979999999999997,16,73,61165,16,16,80045,3.111698113207547,53,258.85575,1.2529373358571627,12
02,Alaska,2021,West,Pacific,807000,8900000,11.03,202199,4,9,Alaska,1158,1158,353576,17,34,5555,29,103,15405,24,257,38763,284,284,77723,16,32,5249,16,54,6952,2,13,1762,16331,138946,569206,724483,83533,8757,37770,0,93500,140027,18325,24707,43032,50967,6533,1896,1965,61361,,,,51764,48327.1,2374.9,millions_of_chained_2017_dollars,6,-3.76058678121326,201,1537,17.52,49.39,5.3,16.259999999999998,17,88,66711,17,16,61165,2.9576923076923074,52,270.97341666666665,4.681242996018686,12
02,Alaska,2022,West,Pacific,541000,6040000,11.16,202299,4,9,Alaska,471,471,167385,22,44,7702,5,18,2351,5,45,7149,431,431,158560,22,44,7702,5,18,2351,5,45,7149,17533,131932,553468,702933,78875,10220,32792,0,96000,139012,18865,24809,43674,51114,7047,2513,2157,62831,,,,50509.1,50793.7,2106.8,millions_of_chained_2017_dollars,6,-11.28889637458419,659,1389,30.07,54.02,6.84,15.95,15,58,47010,15,17,66711,5.344038461538461,52,292.62641666666667,7.990820747791694,12
02,Alaska,2023,West,Pacific,589000,7150000,12.14,202399,4,9,Alaska,599,599,214342,24,48,10231,4,15,2283,13,275,35027,556,556,204594,24,48,10231,4,15,2283,13,275,35027,13212,82575,682923,778710,83130,9295,34851,0,121048,165194,20932,33205,54137,49931,7456,2540,1903,61830,,,,54183.8,53322,2224.5,millions_of_chained_2017_dollars,6,5.58667172963736,483,1949,27.21,54.809999999999995,6.54,14.739999999999998,16,68,60062,16,15,47010,6.806730769230769,52,304.703,4.12696279129503,12
