state_fips,state,year,real_gdp,personal_income
01,Alabama,2015,208950.3,187474.7
01,Alabama,2016,212862.8,190871.8
01,Alabama,2017,216615.5,197963.8
01,Alabama,2018,220808.8,205674.2
01,Alabama,2019,225272.8,215151.8
01,Alabama,2020,223025.5,230878.4
01,Alabama,2021,233951.1,255682.3
01,Alabama,2022,239846.6,262425.8
01,Alabama,2023,248313.7,279484.6
02,Alaska,2015,53681.1,41918.6
02,Alaska,2016,53463.9,41285.5
02,Alaska,2017,53550.9,41919.4
02,Alaska,2018,52479.6,43522.7
02,Alaska,2019,52377.5,44459.7
02,Alaska,2020,50901.3,45375.8
02,Alaska,2021,51764,48327.1
02,Alaska,2022,50509.1,50793.7
02,Alaska,2023,54183.8,53322
04,Arizona,2015,308582.8,267474.1
04,Arizona,2016,319008.4,279696.7
04,Arizona,2017,333099,297261.5
04,Arizona,2018,346398.3,315459
04,Arizona,2019,359576.7,337257.2
04,Arizona,2020,366588,374282.4
04,Arizona,2021,396457.5,415893.1
04,Arizona,2022,413798.8,435718.7
04,Arizona,2023,427644,471040.2
05,Arkansas,2015,121532.5,116632.4
05,Arkansas,2016,123034.9,119758.8
05,Arkansas,2017,123882.6,123825.4
05,Arkansas,2018,126371.2,128970.8
05,Arkansas,2019,127220,131394.8
05,Arkansas,2020,128395.6,142072.2
05,Arkansas,2021,137634.8,161493.9
05,Arkansas,2022,138672,163688.6
05,Arkansas,2023,141968,173568.3
06,California,2015,2545979.5,2097049.6
06,California,2016,2623711.7,2191138
06,California,2017,2740550.3,2295048.7
06,California,2018,2850970.3,2411055.1
06,California,2019,2969609,2539747.4
06,California,2020,2930654.6,2770488.8
06,California,2021,3151112.5,3019215.7
06,California,2022,3147211.4,3021645.5
06,California,2023,3204016.4,3182779.3
08,Colorado,2015,330526.1,279696
08,Colorado,2016,337685.2,283678.7
08,Colorado,2017,350209.1,303366.7
08,Colorado,2018,365204.5,328112.7
08,Colorado,2019,383725.6,351476
08,Colorado,2020,380544,374449.3
08,Colorado,2021,406309.2,418190.2
08,Colorado,2022,422576.1,448676.8
08,Colorado,2023,440225.2,473104.6
09,Connecticut,2015,268869.8,239184.9
09,Connecticut,2016,268196.2,243698.7
09,Connecticut,2017,273875.1,249451.1
09,Connecticut,2018,274582.8,260582.2
09,Connecticut,2019,275225.4,267564.2
09,Connecticut,2020,261737.1,275029.8
09,Connecticut,2021,270779.8,296291.5
