year,state_fips,state,construction_employment_thousands,months_reported,series_id
2015,01,Alabama,15.508333333333333,12,SMU01000002023700001
2016,01,Alabama,16.125,12,SMU01000002023700001
2017,01,Alabama,17.05,12,SMU01000002023700001
2018,01,Alabama,17.241666666666667,12,SMU01000002023700001
2019,01,Alabama,17.575,12,SMU01000002023700001
2020,01,Alabama,16.858333333333334,12,SMU01000002023700001
2021,01,Alabama,16.958333333333332,12,SMU01000002023700001
2022,01,Alabama,18.275,12,SMU01000002023700001
2023,01,Alabama,18.083333333333332,12,SMU01000002023700001
2015,04,Arizona,14.858333333333334,12,SMU04000002023700001
2016,04,Arizona,14.383333333333333,12,SMU04000002023700001
2017,04,Arizona,15.391666666666666,12,SMU04000002023700001
2018,04,Arizona,17.116666666666667,12,SMU04000002023700001
2019,04,Arizona,19.225,12,SMU04000002023700001
2020,04,Arizona,20.558333333333334,12,SMU04000002023700001
2021,04,Arizona,20.083333333333332,12,SMU04000002023700001
2022,04,Arizona,22.316666666666666,12,SMU04000002023700001
2023,04,Arizona,24.45,12,SMU04000002023700001
2015,06,California,80.54166666666667,12,SMU06000002023700001
2016,06,California,82.15833333333333,12,SMU06000002023700001
2017,06,California,85.11666666666666,12,SMU06000002023700001
2018,06,California,90.03333333333333,12,SMU06000002023700001
2019,06,California,92.38333333333333,12,SMU06000002023700001
2020,06,California,91.65,12,SMU06000002023700001
2021,06,California,94.4,12,SMU06000002023700001
2022,06,California,96.65,12,SMU06000002023700001
2023,06,California,96.90833333333333,12,SMU06000002023700001
2015,08,Colorado,22.883333333333333,12,SMU08000002023700001
2016,08,Colorado,21.583333333333332,12,SMU08000002023700001
2017,08,Colorado,22.141666666666666,12,SMU08000002023700001
2018,08,Colorado,24.525,12,SMU08000002023700001
2019,08,Colorado,27,12,SMU08000002023700001
2020,08,Colorado,25.391666666666666,12,SMU08000002023700001
2021,08,Colorado,24.8,12,SMU08000002023700001
2022,08,Colorado,25.55,12,SMU08000002023700001
2023,08,Colorado,25.866666666666667,12,SMU08000002023700001
2015,12,Florida,52.983333333333334,12,SMU12000002023700001
