time,state_fips,region_code,division_code,state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,year
201599,01,3,6,Alabama,10257,10257,2094023,80,160,19716,51,190,19789,159,3447,283246,9384,9384,1934936,80,160,19716,49,184,19602,148,3368,281105,2015
201699,01,3,6,Alabama,11692,11692,2341744,53,106,14961,64,232,25627,181,2971,340624,10985,10985,2214543,53,106,14961,62,225,25408,180,2962,340404,2016
201799,01,3,6,Alabama,12233,12233,2511065,83,166,15782,56,182,14819,88,2218,231109,11199,11199,2305461,69,138,9949,45,143,9799,54,1765,186344,2017
201899,01,3,6,Alabama,12978,12978,2753841,44,88,11251,44,160,28799,111,1598,252766,11934,11934,2550001,37,74,8293,31,113,23899,90,1293,223623,2018
201999,01,3,6,Alabama,14705,14705,3103068,75,150,19134,89,330,28860,92,2563,394209,14198,14198,3031718,75,150,19134,88,326,28735,92,2563,394209,2019
202099,01,3,6,Alabama,17551,17551,4024112,57,114,13920,52,192,18764,128,2125,301896,15339,15339,3584223,41,82,8988,12,43,9353,103,1559,207465,2020
202199,01,3,6,Alabama,17879,17879,4323650,49,98,15617,55,199,16749,159,3924,460158,15471,15471,3807168,48,96,15579,54,195,16624,159,3924,460158,2021
202299,01,3,6,Alabama,15961,15961,4154464,114,228,27226,38,139,19461,111,3171,503273,13442,13442,3566341,110,220,25807,38,139,19461,101,2992,478899,2022
202399,01,3,6,Alabama,16298,16298,4460009,134,268,39784,36,129,23406,150,3642,560513,14013,14013,3897032,134,268,39784,31,112,20815,146,3581,551132,2023
201599,02,4,9,Alaska,992,992,279454,35,70,9911,22,75,10273,19,161,24958,336,336,74740,33,66,9425,10,39,4001,2,13,1559,2015
201699,02,4,9,Alaska,1035,1035,301850,38,76,11849,26,88,12004,30,304,43339,303,303,73597,37,74,11617,14,51,5581,12,130,15831,2016
201799,02,4,9,Alaska,1127,1127,331420,48,96,14820,21,74,11374,26,242,38054,295,295,73939,47,94,14710,7,27,3209,7,70,10861,2017
201899,02,4,9,Alaska,1227,1227,356698,55,110,17606,17,61,10096,29,279,44620,330,330,79013,54,108,17304,4,13,1759,10,113,18376,2018
201999,02,4,9,Alaska,1147,1147,336955,27,54,8527,23,85,13497,41,394,53942,309,309,74441,27,54,8527,10,37,5159,21,221,26591,2019
202099,02,4,9,Alaska,1019,1019,310554,30,60,10477,24,86,14641,21,255,45684,286,286,83249,29,58,10171,14,50,8387,9,141,27661,2020
202199,02,4,9,Alaska,1158,1158,353576,17,34,5555,29,103,15405,24,257,38763,284,284,77723,16,32,5249,16,54,6952,2,13,1762,2021
202299,02,4,9,Alaska,471,471,167385,22,44,7702,5,18,2351,5,45,7149,431,431,158560,22,44,7702,5,18,2351,5,45,7149,2022
202399,02,4,9,Alaska,599,599,214342,24,48,10231,4,15,2283,13,275,35027,556,556,204594,24,48,10231,4,15,2283,13,275,35027,2023
201599,04,4,8,Arizona,22311,22311,5952358,111,222,30101,61,225,34564,299,6152,968691,21748,21748,5797570,106,212,28955,59,217,34078,285,6039,958438,2015
201699,04,4,8,Arizona,24853,24853,6645128,233,484,53061,42,168,28932,290,10073,1317403,24288,24288,6462750,227,472,51780,42,168,28932,287,9963,1303783,2016
201799,04,4,8,Arizona,28072,28072,7115946,216,432,47550,73,273,43648,452,10695,1494132,27822,27822,7046357,213,426,47550,73,273,43648,451,10687,1493360,2017
201899,04,4,8,Arizona,32127,32127,8343636,323,646,67685,76,264,45963,305,8627,1270438,31037,31037,8031825,322,644,67444,75,261,45477,278,8286,1221311,2018
201999,04,4,8,Arizona,33981,33981,9040908,438,876,112744,60,202,41261,326,11521,1655643,33683,33683,8966177,432,864,111186,60,202,41261,314,10234,1431676,2019
