state_fips,state,year,private_nonresidential_spending_nominal_millions,state_local_construction_spending_nominal_millions
01,Alabama,2015,2904,3569
01,Alabama,2016,3090,3392
01,Alabama,2017,3156,2874
01,Alabama,2018,4165,3360
01,Alabama,2019,4844,3802
01,Alabama,2020,5855,3936
01,Alabama,2021,5083,3025
01,Alabama,2022,4657,3949
01,Alabama,2023,7006,4841
02,Alaska,2015,475,3263
02,Alaska,2016,224,2618
02,Alaska,2017,236,1586
02,Alaska,2018,352,1352
02,Alaska,2019,494,1494
02,Alaska,2020,273,1232
02,Alaska,2021,201,1537
02,Alaska,2022,659,1389
02,Alaska,2023,483,1949
04,Arizona,2015,3498,2817
04,Arizona,2016,4006,2824
04,Arizona,2017,3944,4253
04,Arizona,2018,5685,4169
04,Arizona,2019,8287,4596
04,Arizona,2020,9581,5197
04,Arizona,2021,14250,4398
04,Arizona,2022,33105,4526
04,Arizona,2023,46279,4888
05,Arkansas,2015,2654,1976
05,Arkansas,2016,2319,2816
05,Arkansas,2017,2155,2586
05,Arkansas,2018,2257,3491
05,Arkansas,2019,3345,2223
05,Arkansas,2020,2820,2913
05,Arkansas,2021,2553,2827
05,Arkansas,2022,3634,3145
05,Arkansas,2023,6047,4853
06,California,2015,19908,32749
06,California,2016,26305,30438
06,California,2017,30230,32872
06,California,2018,30416,37287
06,California,2019,25729,41249
06,California,2020,22429,44735
06,California,2021,24497,45622
06,California,2022,33989,45931
06,California,2023,35930,46676
08,Colorado,2015,5821,4717
08,Colorado,2016,7040,5323
08,Colorado,2017,7424,7190
08,Colorado,2018,6555,6807
08,Colorado,2019,6158,5663
08,Colorado,2020,6649,7025
08,Colorado,2021,6287,6322
08,Colorado,2022,7589,6463
08,Colorado,2023,8338,7577
09,Connecticut,2015,1920,3304
09,Connecticut,2016,1933,3242
09,Connecticut,2017,2011,2398
09,Connecticut,2018,2325,2695
09,Connecticut,2019,2627,2852
09,Connecticut,2020,2838,2903
09,Connecticut,2021,2048,2857
09,Connecticut,2022,1895,2860
09,Connecticut,2023,2828,3446
10,Delaware,2015,478,748
10,Delaware,2016,667,801
10,Delaware,2017,1034,899
10,Delaware,2018,1206,1067
10,Delaware,2019,1476,979
10,Delaware,2020,1225,776
10,Delaware,2021,1300,929
10,Delaware,2022,1220,1253
10,Delaware,2023,1297,1733
12,Florida,2015,12741,12227
12,Florida,2016,14298,12846
12,Florida,2017,16886,13446
12,Florida,2018,19746,13943
12,Florida,2019,23824,15617
12,Florida,2020,23864,16546
12,Florida,2021,23031,17076
12,Florida,2022,31541,18081
12,Florida,2023,35729,23950
13,Georgia,2015,7782,5607
13,Georgia,2016,8726,6840
13,Georgia,2017,9248,6620
13,Georgia,2018,9420,7938
13,Georgia,2019,11115,8665
13,Georgia,2020,10858,7974
13,Georgia,2021,10320,7661
13,Georgia,2022,16901,9303
13,Georgia,2023,29207,11510
15,Hawaii,2015,1740,2310
15,Hawaii,2016,1737,2196
15,Hawaii,2017,1525,2390
15,Hawaii,2018,1454,2972
