state,state_fips,year,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,lag_active_stone_mines,lag_stone_mine_employee_hours
Alabama,01,2015,68,659,1421475,68,,
Alabama,01,2016,70,697,1488612,70,68,1421475
Alabama,01,2017,69,663,1440006,69,70,1488612
Alabama,01,2018,74,677,1429150,74,69,1440006
Alabama,01,2019,75,731,1571504,75,74,1429150
Alabama,01,2020,74,740,1545264,74,75,1571504
Alabama,01,2021,76,752,1623449,76,74,1545264
Alabama,01,2022,78,797,1709666,78,76,1623449
Alabama,01,2023,80,831,1740619,80,78,1709666
Alaska,02,2015,21,86,73608,21,,
Alaska,02,2016,16,64,67206,16,21,73608
Alaska,02,2017,19,74,57516,19,16,67206
Alaska,02,2018,18,73,84884,18,19,57516
Alaska,02,2019,16,83,80045,16,18,84884
Alaska,02,2020,16,73,61165,16,16,80045
Alaska,02,2021,17,88,66711,17,16,61165
Alaska,02,2022,15,58,47010,15,17,66711
Alaska,02,2023,16,68,60062,16,15,47010
Arizona,04,2015,63,515,1013293,63,,
Arizona,04,2016,64,513,1026507,64,63,1013293
Arizona,04,2017,64,507,965443,64,64,1026507
Arizona,04,2018,62,505,968167,62,64,965443
Arizona,04,2019,61,501,990188,61,62,968167
Arizona,04,2020,57,481,933967,57,61,990188
Arizona,04,2021,56,498,970020,56,57,933967
Arizona,04,2022,55,509,1027545,55,56,970020
Arizona,04,2023,50,431,811905,50,55,1027545
Arkansas,05,2015,0,0,0,0,,
Arkansas,05,2016,0,0,0,0,0,0
Arkansas,05,2017,0,0,0,0,0,0
Arkansas,05,2018,0,0,0,0,0,0
Arkansas,05,2019,0,0,0,0,0,0
Arkansas,05,2020,0,0,0,0,0,0
Arkansas,05,2021,0,0,0,0,0,0
Arkansas,05,2022,0,0,0,0,0,0
Arkansas,05,2023,0,0,0,0,0,0
California,06,2015,72,422,702500,72,,
California,06,2016,74,436,724998,74,72,702500
California,06,2017,77,485,834565,77,74,724998
California,06,2018,72,478,837145,72,77,834565
California,06,2019,73,509,856611,73,72,837145
California,06,2020,72,496,820983,72,73,856611
California,06,2021,68,442,746403,68,72,820983
California,06,2022,66,438,778770,66,68,746403
California,06,2023,67,466,821652,67,66,778770
Colorado,08,2015,40,401,799164,40,,
Colorado,08,2016,42,432,857505,42,40,799164
Colorado,08,2017,43,452,920517,43,42,857505
Colorado,08,2018,43,426,824819,43,43,920517
Colorado,08,2019,39,391,782593,39,43,824819
Colorado,08,2020,38,388,757622,38,39,782593
Colorado,08,2021,37,402,809616,37,38,757622
Colorado,08,2022,34,396,773204,34,37,809616
Colorado,08,2023,30,396,782567,30,34,773204
Connecticut,09,2015,0,0,0,0,,
Connecticut,09,2016,0,0,0,0,0,0
Connecticut,09,2017,0,0,0,0,0,0
Connecticut,09,2018,0,0,0,0,0,0
Connecticut,09,2019,0,0,0,0,0,0
Connecticut,09,2020,0,0,0,0,0,0
Connecticut,09,2021,0,0,0,0,0,0
Connecticut,09,2022,0,0,0,0,0,0
Connecticut,09,2023,0,0,0,0,0,0
Delaware,10,2015,0,0,0,0,,
Delaware,10,2016,0,0,0,0,0,0
Delaware,10,2017,0,0,0,0,0,0
Delaware,10,2018,0,0,0,0,0,0
Delaware,10,2019,0,0,0,0,0,0
Delaware,10,2020,0,0,0,0,0,0
Delaware,10,2021,0,0,0,0,0,0
Delaware,10,2022,0,0,0,0,0,0
Delaware,10,2023,0,0,0,0,0,0
Florida,12,2015,0,0,0,0,,
Florida,12,2016,0,0,0,0,0,0
Florida,12,2017,0,0,0,0,0,0
Florida,12,2018,0,0,0,0,0,0
Florida,12,2019,0,0,0,0,0,0
Florida,12,2020,0,0,0,0,0,0
Florida,12,2021,0,0,0,0,0,0
Florida,12,2022,0,0,0,0,0,0
Florida,12,2023,0,0,0,0,0,0
Georgia,13,2015,4,9,15132,4,,
Georgia,13,2016,5,16,15815,5,4,15132
Georgia,13,2017,4,14,18053,4,5,15815
Georgia,13,2018,5,16,25910,5,4,18053
Georgia,13,2019,6,21,26776,6,5,25910
Georgia,13,2020,7,28,31854,7,6,26776
Georgia,13,2021,9,41,74796,9,7,31854
Georgia,13,2022,11,56,88964,11,9,74796
Georgia,13,2023,13,70,131603,13,11,88964
Hawaii,15,2015,0,0,0,0,,
Hawaii,15,2016,0,0,0,0,0,0
Hawaii,15,2017,0,0,0,0,0,0
Hawaii,15,2018,0,0,0,0,0,0
Hawaii,15,2019,0,0,0,0,0,0
Hawaii,15,2020,0,0,0,0,0,0
Hawaii,15,2021,0,0,0,0,0,0
Hawaii,15,2022,0,0,0,0,0,0
Hawaii,15,2023,0,0,0,0,0,0
Idaho,16,2015,32,268,337327,32,,
Idaho,16,2016,33,282,313776,33,32,337327
Idaho,16,2017,31,278,284632,31,33,313776
Idaho,16,2018,30,268,315428,30,31,284632
Idaho,16,2019,31,268,305463,31,30,315428
Idaho,16,2020,29,220,216914,29,31,305463
Idaho,16,2021,31,272,319310,31,29,216914
Idaho,16,2022,31,260,308494,31,31,319310
Idaho,16,2023,31,257,349232,31,31,308494
Illinois,17,2015,77,577,1162053,77,,
Illinois,17,2016,73,585,1210000,73,77,1162053
Illinois,17,2017,74,591,1176078,74,73,1210000
Illinois,17,2018,71,601,1194772,71,74,1176078
Illinois,17,2019,70,581,1176084,70,71,1194772
Illinois,17,2020,71,563,1205041,71,70,1176084
Illinois,17,2021,71,564,1165985,71,71,1205041
