year,state_fips,state,capital_right_of_way,capital_engineering,capital_construction_preservation,capital_outlay_total,physical_maintenance,traffic_control_operations,snow_ice_removal,other_services,toll_collection_expenses,highway_traffic_services_total,general_administration,research_planning,administration_research_total,traffic_supervision,highway_safety_driver_education,vehicle_inspection,size_weight_enforcement,law_enforcement_safety_total
2015,01,Alabama,12930,50228,764600,827758,5184,24375,293,0,0,24668,187546,22885,210431,199684,39173,0,1848,240705
2016,01,Alabama,14544,26240,736635,777419,9553,20843,237,0,0,21080,189323,25292,214615,194038,35107,0,2036,231181
2017,01,Alabama,14450,43927,733694,792071,10200,4804,36,0,0,4840,178291,19177,197468,193307,37206,0,2474,232987
2018,01,Alabama,30443,1550098,25492,1606033,155632,9256,0,3777,0,13033,256726,24890,281616,63500,82607,0,2064,148171
2019,01,Alabama,12848,444471,930440,1387759,193070,9652,0,2172,0,11824,313911,22630,336541,123118,86227,0,2168,211513
2020,01,Alabama,7144,454065,692566,1153775,46985,6675,0,6073,0,12748,516874,24764,541638,28500,124200,0,2304,155004
2021,01,Alabama,9920,323976,591614,925510,65449,36649,0,0,0,36649,440261,24871,465132,28500,113282,0,2675,144457
2022,01,Alabama,14782,26029,1225238,1266049,28660,4074,1651,0,0,5725,392577,27543,420120,29700,36344,0,789,66833
2023,01,Alabama,5662,22643,939928,968233,31661,5285,1125,0,0,6410,377996,26580,404576,24700,70689,0,2173,97562
2015,02,Alaska,29169,181315,582065,792549,30975,16153,29278,0,150800,196231,63625,24852,88477,40619,3750,1565,1879,47813
2016,02,Alaska,26015,87346,786625,899986,58848,6472,20912,0,134800,162184,72552,27977,100529,39175,1842,1861,1755,44633
2018,02,Alaska,20918,130975,559333,711226,60423,5229,25339,0,147700,178268,68811,23498,92309,43028,4499,2014,1513,51054
2019,02,Alaska,15819,138756,612999,767574,74236,9893,27092,0,147700,184685,22660,22645,45305,46042,4784,1947,1787,54560
2020,02,Alaska,21142,102828,484978,608948,78856,11190,30433,0,159970,201593,19906,31985,51891,54799,4541,2063,1898,63301
2021,02,Alaska,16331,138946,569206,724483,83533,8757,37770,0,93500,140027,18325,24707,43032,50967,6533,1896,1965,61361
