year,state,state_fips,region,division,crushed_stone_tons,crushed_stone_total_value,crushed_stone_unit_value
2015,Alabama,01,South,East South Central,35300000,366000000,10.360000000000001
2016,Alabama,01,South,East South Central,37500000,404000000,10.78
2017,Alabama,01,South,East South Central,37600000,410000000,10.9
2018,Alabama,01,South,East South Central,36900000,417000000,11.29
2019,Alabama,01,South,East South Central,41100000,529000000,12.860000000000001
2020,Alabama,01,South,East South Central,40700000,556000000,13.67
2021,Alabama,01,South,East South Central,43800000,635000000,14.51
2022,Alabama,01,South,East South Central,43600000,687000000,15.739999999999998
2023,Alabama,01,South,East South Central,43300000,757000000,17.48999999999999
2015,Alaska,02,West,Pacific,1040000,12100000,11.639999999999999
2016,Alaska,02,West,Pacific,760000,15500000,20.39
2017,Alaska,02,West,Pacific,1050000,22300000,21.32
2018,Alaska,02,West,Pacific,1400000,27800000,19.88
2019,Alaska,02,West,Pacific,1540000,27700000,18.05
2020,Alaska,02,West,Pacific,1530000,14700000,9.59
2021,Alaska,02,West,Pacific,807000,8900000,11.03
2022,Alaska,02,West,Pacific,541000,6040000,11.16
2023,Alaska,02,West,Pacific,589000,7150000,12.139999999999999
2015,Arizona,04,West,Mountain,10300000,92200000,8.98
2016,Arizona,04,West,Mountain,9410000,91000000,9.67
2017,Arizona,04,West,Mountain,9810000,91400000,9.32
2018,Arizona,04,West,Mountain,11800000,111000000,9.42
2019,Arizona,04,West,Mountain,10900000,121000000,11.05
2020,Arizona,04,West,Mountain,11000000,120000000,10.92
2021,Arizona,04,West,Mountain,11400000,124000000,10.91
2022,Arizona,04,West,Mountain,11200000,131000000,11.68
2023,Arizona,04,West,Mountain,13400000,174000000,13.02
2015,Arkansas,05,South,West South Central,27800000,236000000,8.5
2016,Arkansas,05,South,West South Central,29400000,264000000,8.960000000000003
2017,Arkansas,05,South,West South Central,30900000,293000000,9.460000000000003
2018,Arkansas,05,South,West South Central,29000000,274000000,9.47
2019,Arkansas,05,South,West South Central,29600000,282000000,9.540000000000001
2020,Arkansas,05,South,West South Central,31100000,299000000,9.629999999999999
2021,Arkansas,05,South,West South Central,34100000,342000000,10.02
2022,Arkansas,05,South,West South Central,31800000,336000000,10.58
2023,Arkansas,05,South,West South Central,33000000,359000000,10.870000000000001
2015,California,06,West,Pacific,38200000,350000000,9.16
2016,California,06,West,Pacific,37100000,338000000,9.11
2017,California,06,West,Pacific,39700000,380000000,9.58
2018,California,06,West,Pacific,41100000,388000000,9.43
2019,California,06,West,Pacific,41900000,453000000,10.81
2020,California,06,West,Pacific,40300000,434000000,10.75
2021,California,06,West,Pacific,38300000,455000000,11.89
2022,California,06,West,Pacific,40400000,532000000,13.16
2023,California,06,West,Pacific,41500000,608000000,14.639999999999999
2015,Colorado,08,West,Mountain,14900000,131000000,8.729999999999999
2016,Colorado,08,West,Mountain,15400000,148000000,9.59
2017,Colorado,08,West,Mountain,15500000,149000000,9.629999999999999
