source,variable,fresh_rows,paired_rows,fresh_missing,different_values
usgs,crushed_stone_tons,450,450,23,0
census_bps,units_1unit,450,450,0,0
census_bps,units_2unit,450,450,0,0
census_bps,units_34unit,450,450,0,0
census_bps,units_5punit,450,450,0,0
fhwa_2023,capital_outlay_total,50,50,0,0
bea_gdp,real_gdp,450,450,0,0
bea_income,personal_income,450,450,0,0
bea_construction,construction_real_gdp,450,450,0,0
eia,industrial_distillate_price_per_mmbtu,450,450,0,0
eia,industrial_electricity_price_per_mmbtu,450,450,0,0
eia,industrial_natural_gas_price_per_mmbtu,450,450,0,0
eia,industrial_energy_price_per_mmbtu,450,450,0,0
census_nrstate,private_nonresidential_spending_nominal_millions,450,450,0,0
census_slstate,state_local_construction_spending_nominal_millions,450,450,0,0
msha,active_stone_mines,450,450,0,0
msha,stone_mine_employee_hours,450,450,0,0
fred_cpi,cpi_index,10,9,0,0
fred_mortgage,mortgage_rate_pct,10,9,0,0
bls,construction_employment_thousands,324,324,0,0
