state_fips,state,year,target_observed,bls_observed,previous_target_observed,primary_predictors_observed
10,Delaware,2015,0,0,0,1
10,Delaware,2016,0,0,0,1
10,Delaware,2017,0,0,0,1
10,Delaware,2018,0,0,0,1
10,Delaware,2019,0,0,0,1
10,Delaware,2020,0,0,0,1
10,Delaware,2021,0,0,0,1
10,Delaware,2022,0,0,0,1
10,Delaware,2023,0,0,0,1
22,Louisiana,2015,0,1,0,1
22,Louisiana,2016,0,1,0,1
22,Louisiana,2017,0,1,0,1
22,Louisiana,2018,0,1,0,1
22,Louisiana,2019,0,1,0,1
22,Louisiana,2020,0,1,0,1
22,Louisiana,2021,0,1,0,1
22,Louisiana,2022,0,1,0,1
22,Louisiana,2023,0,1,0,1
31,Nebraska,2019,0,1,1,1
31,Nebraska,2020,0,1,0,1
31,Nebraska,2021,0,1,0,1
31,Nebraska,2022,0,1,0,1
31,Nebraska,2023,0,1,0,1
