state_fips,state,year,quantity_token
01,Alabama,2023,43300000
02,Alaska,2023,589000
04,Arizona,2023,13400000
05,Arkansas,2023,33000000
06,California,2023,41500000
08,Colorado,2023,15700000
09,Connecticut,2023,11000000
10,Delaware,2023,W
12,Florida,2023,95000000
13,Georgia,2023,67300000
15,Hawaii,2023,6260000
16,Idaho,2023,5400000
17,Illinois,2023,54200000
18,Indiana,2023,55700000
19,Iowa,2023,33500000
20,Kansas,2023,18700000
21,Kentucky,2023,55500000
22,Louisiana,2023,W
23,Maine,2023,4260000
24,Maryland,2023,23800000
25,Massachusetts,2023,12300000
26,Michigan,2023,34400000
27,Minnesota,2023,8810000
28,Mississippi,2023,2300000
29,Missouri,2023,86100000
30,Montana,2023,2870000
31,Nebraska,2023,W
32,Nevada,2023,10000000
33,New Hampshire,2023,5130000
34,New Jersey,2023,18700000
35,New Mexico,2023,4480000
36,New York,2023,42200000
37,North Carolina,2023,66800000
38,North Dakota,2023,410000
39,Ohio,2023,73900000
40,Oklahoma,2023,39500000
41,Oregon,2023,23600000
42,Pennsylvania,2023,88300000
44,Rhode Island,2023,2400000
45,South Carolina,2023,34700000
46,South Dakota,2023,8150000
47,Tennessee,2023,58900000
48,Texas,2023,203000000
49,Utah,2023,12100000
50,Vermont,2023,5630000
51,Virginia,2023,52000000
53,Washington,2023,16000000
54,West Virginia,2023,14600000
55,Wisconsin,2023,27600000
56,Wyoming,2023,8510000
01,Alabama,2022,43600000
02,Alaska,2022,541000
04,Arizona,2022,11200000
05,Arkansas,2022,31800000
06,California,2022,40400000
08,Colorado,2022,17200000
09,Connecticut,2022,10400000
10,Delaware,2022,W
12,Florida,2022,91100000
13,Georgia,2022,63400000
15,Hawaii,2022,5570000
16,Idaho,2022,5570000
17,Illinois,2022,50700000
18,Indiana,2022,55100000
19,Iowa,2022,34900000
20,Kansas,2022,19000000
21,Kentucky,2022,53800000
22,Louisiana,2022,W
23,Maine,2022,4480000
24,Maryland,2022,24400000
25,Massachusetts,2022,12800000
26,Michigan,2022,37200000
27,Minnesota,2022,8550000
28,Mississippi,2022,1700000
29,Missouri,2022,85200000
30,Montana,2022,2880000
31,Nebraska,2022,W
32,Nevada,2022,10100000
33,New Hampshire,2022,5150000
34,New Jersey,2022,17800000
35,New Mexico,2022,4810000
36,New York,2022,42000000
37,North Carolina,2022,62700000
38,North Dakota,2022,311000
39,Ohio,2022,75600000
40,Oklahoma,2022,39900000
41,Oregon,2022,24900000
42,Pennsylvania,2022,91400000
44,Rhode Island,2022,2490000
45,South Carolina,2022,33800000
46,South Dakota,2022,7790000
47,Tennessee,2022,60500000
48,Texas,2022,202000000
49,Utah,2022,13400000
50,Vermont,2022,5400000
51,Virginia,2022,50800000
53,Washington,2022,16700000
54,West Virginia,2022,14000000
55,Wisconsin,2022,27100000
56,Wyoming,2022,7160000
01,Alabama,2021,43800000
02,Alaska,2021,807000
04,Arizona,2021,11400000
05,Arkansas,2021,34100000
06,California,2021,38300000
08,Colorado,2021,17000000
09,Connecticut,2021,10400000
10,Delaware,2021,W
12,Florida,2021,86600000
13,Georgia,2021,61200000
15,Hawaii,2021,5850000
16,Idaho,2021,5370000
17,Illinois,2021,51500000
18,Indiana,2021,52300000
19,Iowa,2021,35600000
20,Kansas,2021,19400000
21,Kentucky,2021,51100000
22,Louisiana,2021,W
23,Maine,2021,4700000
24,Maryland,2021,25700000
25,Massachusetts,2021,12400000
26,Michigan,2021,36000000
27,Minnesota,2021,9130000
28,Mississippi,2021,1320000
29,Missouri,2021,85500000
30,Montana,2021,2890000
31,Nebraska,2021,W
32,Nevada,2021,9960000
33,New Hampshire,2021,5070000
34,New Jersey,2021,17700000
35,New Mexico,2021,4270000
36,New York,2021,40600000
37,North Carolina,2021,62300000
38,North Dakota,2021,321000
39,Ohio,2021,72600000
40,Oklahoma,2021,41500000
41,Oregon,2021,21600000
42,Pennsylvania,2021,93400000
44,Rhode Island,2021,2150000
45,South Carolina,2021,31000000
46,South Dakota,2021,8300000
47,Tennessee,2021,56900000
48,Texas,2021,190000000
49,Utah,2021,13200000
50,Vermont,2021,5320000
51,Virginia,2021,54700000
53,Washington,2021,16700000
54,West Virginia,2021,14200000
55,Wisconsin,2021,25700000
56,Wyoming,2021,7440000
01,Alabama,2020,40700000
02,Alaska,2020,1530000
04,Arizona,2020,11000000
05,Arkansas,2020,31100000
06,California,2020,40300000
08,Colorado,2020,17300000
09,Connecticut,2020,10300000
10,Delaware,2020,W
12,Florida,2020,83400000
13,Georgia,2020,59300000
15,Hawaii,2020,5880000
16,Idaho,2020,4620000
17,Illinois,2020,53700000
18,Indiana,2020,52400000
19,Iowa,2020,39600000
20,Kansas,2020,17800000
21,Kentucky,2020,50000000
22,Louisiana,2020,W
23,Maine,2020,4690000
24,Maryland,2020,24600000
25,Massachusetts,2020,13000000
26,Michigan,2020,32800000
