state_fips,state,year,variable,value,previous,change_pct
01,Alabama,2018,highway_capital_outlays_2017_million_usd,1567.7944997620466,792.071,97.93610670786414
02,Alaska,2022,housing_units_authorized,578,1552,-62.75773195876289
02,Alaska,2023,housing_units_authorized,937,578,62.110726643598625
06,California,2018,highway_capital_outlays_2017_million_usd,4469.56044250586,1865.537,139.58573014128692
15,Hawaii,2021,highway_capital_outlays_2017_million_usd,123.9040863307317,251.90511866164846,-50.81319228881726
15,Hawaii,2022,highway_capital_outlays_2017_million_usd,187.25017708301,123.9040863307317,51.1251021884713
36,New York,2016,housing_units_authorized,33711,74611,-54.81765423328999
38,North Dakota,2018,highway_capital_outlays_2017_million_usd,257.59915779203067,613.462,-58.00894630930185
41,Oregon,2017,highway_capital_outlays_2017_million_usd,924.356,556.4784975269655,66.10812531084511
41,Oregon,2021,highway_capital_outlays_2017_million_usd,560.9569986231736,1154.514623704515,-51.41187585626077
42,Pennsylvania,2021,housing_units_authorized,47894,25706,86.31447910993542
45,South Carolina,2019,highway_capital_outlays_2017_million_usd,1824.6521225243503,1188.0485027847528,53.58397559084636
46,South Dakota,2020,highway_capital_outlays_2017_million_usd,421.88094303487566,235.7759262201862,78.93300210848919
46,South Dakota,2020,housing_units_authorized,6660,4415,50.84937712344282
49,Utah,2018,highway_capital_outlays_2017_million_usd,859.4363515578486,563.953,52.395031422449854
54,West Virginia,2018,highway_capital_outlays_2017_million_usd,1832.6975164705625,817.454,124.19579774159311
54,West Virginia,2019,highway_capital_outlays_2017_million_usd,873.3678925547073,1832.6975164705625,-52.3452242006279
54,West Virginia,2020,highway_capital_outlays_2017_million_usd,1319.3835978223394,873.3678925547073,51.06847974030531
