variable,type,missing,unique_values
state_fips,character,0,50
year,numeric,0,9
state,character,0,50
target_source_token,character,0,363
crushed_stone_sold_used_metric_tons,numeric,23,362
target_withheld,logical,0,2
target_includes_agency_estimates,logical,0,1
housing_units_authorized,numeric,0,446
housing_units_reported,numeric,0,443
permits_include_census_imputation,logical,0,1
permits_universe_change,logical,0,2
fhwa_state_token,character,0,56
highway_capital_outlays_nominal_thousand_usd,numeric,0,444
highway_construction_preservation_nominal_thousand_usd,numeric,0,444
fhwa_reported_year,numeric,0,11
fhwa_footnote,numeric,442,2
fhwa_year_matches,logical,0,2
fhwa_provenance,character,0,1
construction_gdp_chained_2017_million_usd,numeric,0,450
total_gdp_chained_2017_million_usd,numeric,0,450
personal_income_nominal_million_usd,numeric,0,450
series_id,character,126,36
heavy_civil_employment_thousands,numeric,126,315
bls_months,numeric,126,1
industrial_distillate_price_per_mmbtu,numeric,0,335
industrial_electricity_price_per_mmbtu,numeric,0,395
industrial_natural_gas_price_per_mmbtu,numeric,0,338
industrial_energy_price_per_mmbtu,numeric,0,372
private_nonresidential_nominal_million_usd,numeric,0,442
private_nonresidential_nominal_million_usd_source_file,character,0,2
state_local_construction_nominal_million_usd,numeric,0,446
state_local_construction_nominal_million_usd_source_file,character,0,2
active_stone_mines,numeric,0,167
stone_mine_employees,numeric,0,351
stone_mine_employee_hours,numeric,0,437
stone_mine_operations,numeric,0,167
msha_no_qualifying_activity,logical,0,2
msha_uses_current_commodity,logical,0,1
msha_activity_not_rated_capacity,logical,0,1
cpi_index,numeric,0,9
cpi_index_observations,numeric,0,1
mortgage_rate_pct,numeric,0,9
mortgage_rate_pct_observations,numeric,0,2
inflation_pct,numeric,0,9
cpi_2017_multiplier,numeric,0,9
highway_capital_outlays_2017_million_usd,numeric,8,442
highway_preservation_2017_million_usd,numeric,8,442
private_nonresidential_2017_million_usd,numeric,0,450
state_local_construction_2017_million_usd,numeric,0,449
industrial_energy_2017_usd_per_mmbtu,numeric,0,438
lag1_crushed_stone_sold_used_metric_tons,numeric,70,325
lag1_housing_units_authorized,numeric,50,396
lag1_highway_capital_outlays_2017_million_usd,numeric,58,392
lag1_construction_gdp_chained_2017_million_usd,numeric,50,400
lag1_heavy_civil_employment_thousands,numeric,162,281
lag1_industrial_energy_2017_usd_per_mmbtu,numeric,50,389
lag1_active_stone_mines,numeric,50,158
lag1_stone_mine_employee_hours,numeric,50,390
lag1_private_nonresidential_2017_million_usd,numeric,50,400
lag1_state_local_construction_2017_million_usd,numeric,50,399
lag1_source_year,numeric,50,8
target_observed,logical,0,2
eligible_explanation,logical,0,2
eligible_prediction,logical,0,2
dataset_stage,character,0,1
