model,log_ratio_q05,log_ratio_q95,n
forest_m4_n5,-0.14637689381091393,0.13155601448878068,137
levels_lag_all,-0.13455547989526506,0.2059043452005332,135
log_ar,-0.1302732180494161,0.1393811987867703,137
log_ar_l_gdp,-0.13063929222493337,0.14194957269169156,137
log_ar_l_highway,-0.13310666954182396,0.13730826184547262,137
log_ar_l_permits,-0.13050851810859032,0.14024849153698768,137
log_lag_all,-0.13186028768265787,0.15161397437214802,137
naive_prior_year,-0.12010437779799123,0.1348084995848642,137
ridge_0.01,-0.13188619781586824,0.15168824135754044,137
sameyear_pooled_log,-1.5428833470277963,0.8103025896988975,139
sameyear_state_log,-0.1593160908997885,0.14540738820280846,139
state_historical_mean,-0.2072407937077061,0.1805657524033709,137
state_log_lag_all,-0.14961923766132398,0.15129598272902076,137
