model,track,n,r_squared,rmse,mae,rmse_skill,change_r_squared,complexity,kind
log_ar_l_highway,lagged,137,0.9951982865657458,2356019.360056856,1481802.6105228777,0.07688403710143765,0.04921982560241378,3,log_lm
log_ar,lagged,137,0.9950032482275675,2403392.067984758,1498461.9920586925,0.05832285562926076,0.010600572761426563,2,log_lm
levels_lag_all,lagged,137,0.9947930445169368,2453424.3329156013,1614166.9271570924,0.038719628592740585,-0.03102155304612708,4,levels_lm
log_ar_l_gdp,lagged,137,0.9946819564694087,2479457.5648616967,1542280.8626653622,0.02851950359262112,-0.05301793301517366,3,log_lm
log_lag_all,lagged,137,0.9946048284580892,2497372.7282617176,1541274.1730619806,0.021500132872298905,-0.06828993644840353,4,log_lm
ridge_0.01,lagged,137,0.9946026911702702,2497867.34421174,1541946.1930505526,0.021306336553511884,-0.06871313764794396,5,ridge
ridge_0.1,lagged,137,0.9945824043775598,2502557.291669768,1547975.0543136282,0.019468760242782324,-0.07273009546420006,5,ridge
naive_prior_year,lagged,137,0.9943651324037563,2552246.364215186,1675970.802919708,0,-0.11575179760720444,0,naive
ridge_1,lagged,137,0.9942809426609811,2571242.046464445,1611282.549090209,-0.0074427306531204,-0.1324220840402377,5,ridge
state_log_lag_all,lagged,137,0.9939084824548217,2653649.047322772,1512631.4722342186,-0.039730758178107006,-0.20617237851681502,6,state_lm
log_ar_l_permits,lagged,137,0.9939047923001644,2654452.69704937,1615454.5784719267,-0.04004563754785195,-0.20690306058201724,3,log_lm
forest_m4_n5,lagged,137,0.985489994967668,4095571.5495733805,2058959.7480181393,-0.6046928725208571,-1.873104633178337,7,forest
ridge_10,lagged,137,0.9851585875534761,4142078.765245404,2694541.755379912,-0.6229149439964392,-1.938726125042928,5,ridge
state_historical_mean,lagged,137,0.9818808562692413,4576669.706274033,2514390.3892944036,-0.7931927616562029,-2.587744848197379,1,state_mean
forest_m2_n5,lagged,137,0.9751532199757544,5359395.329630244,2695287.9721718538,-1.0998738228306788,-3.9198741591166515,7,forest
forest_m4_n15,lagged,137,0.9430827006193416,8111531.866049629,2757296.8326582573,-2.1781931320505263,-10.27011025800354,7,forest
forest_m2_n15,lagged,137,0.9316418980997991,8889467.23419113,3702749.010971231,-2.482997315161084,-12.53548664160449,7,forest
ridge_100,lagged,137,0.8659269368730421,12449488.310910525,8255785.657814691,-3.877855243703613,-25.547608908207604,5,ridge
sameyear_state_log,sameyear_conditional,139,0.9935616094061755,2712563.7261318997,1436451.5510155482,-0.070124263394721,-0.272413377328242,6,state_lm
sameyear_pooled_log,sameyear_conditional,139,0.3542229083090416,27166432.285558492,17831146.00731363,-9.71733653981342,-126.62434932541362,4,log_lm
