model,track,year,n,r_squared,rmse,mae,rmse_skill,change_r_squared
forest_m2_n15,lagged,2019,45,0.894300074202997,11063456.460017834,4208082.053044058,-2.7044953903083457,-18.356683154678574
forest_m2_n15,lagged,2020,46,0.9427565940349305,8030254.364111578,3475896.4483924867,-2.5796133541276456,-11.945012897436442
forest_m2_n15,lagged,2021,46,0.9567750264548376,7150231.95281031,3435254.0323917745,-2.010126455283485,-10.52402191468041
forest_m2_n5,lagged,2019,45,0.9588302988383743,6904660.783105932,3153293.9287230605,-1.311961377992128,-6.539351186384521
forest_m2_n5,lagged,2020,46,0.9852541804979743,4075688.891846192,2244894.8439199263,-0.8168030205524408,-2.3346168072785822
forest_m2_n5,lagged,2021,46,0.9811497676558921,4721838.362002167,2697631.7951019495,-0.9878139149666025,-4.025578336175268
forest_m4_n15,lagged,2019,45,0.8800084436706578,11787693.446973367,3655143.545409033,-2.946999402446272,-20.973889949217906
forest_m4_n15,lagged,2020,46,0.9621684939336292,6528198.996622831,2563585.658268929,-1.9100483306171245,-7.555209559987624
forest_m4_n15,lagged,2021,46,0.9852770895640339,4173011.6533151856,2072679.7010957408,-0.7567671732541845,-2.925211020307009
forest_m4_n5,lagged,2019,45,0.9760586950797455,5265351.864013025,2300090.6912487387,-0.7630540490739424,-3.384338495572078
forest_m4_n5,lagged,2020,46,0.9888729428074584,3540435.845193033,2032514.4442178006,-0.5782054784621122,-1.5162705894170347
forest_m4_n5,lagged,2021,46,0.9912912678179578,3209447.1601238446,1849516.0856146303,-0.35112285409512656,-1.321797152983288
levels_lag_all,lagged,2019,45,0.9961888152406688,2100794.11123444,1448369.6361447226,0.296568651110111,0.3020629364301294
levels_lag_all,lagged,2020,46,0.9918822448782701,3024019.1853603465,1908555.8900600455,-0.34800455480362547,-0.8357475935856635
levels_lag_all,lagged,2021,46,0.9962250655974565,2113038.777280362,1481970.9663314573,0.1104464908957864,-0.006418817953479206
log_ar,lagged,2019,45,0.9977222557887462,1624074.5679606034,1128594.5073135335,0.45619375172039356,0.5828798111995066
log_ar,lagged,2020,46,0.9908253758595225,3214849.9663985115,1932823.1196411336,-0.4330704046770373,-1.0747477517338027
log_ar,lagged,2021,46,0.9963748504454967,2070693.0526725703,1425927.7517269503,0.12827332319315876,0.03351466793978497
log_ar_l_gdp,lagged,2019,45,0.9977251674303548,1623036.2083385857,1171532.5137705102,0.4565414367722711,0.5834130161535585
log_ar_l_gdp,lagged,2020,46,0.9901682497814107,3327989.8051770683,1986610.035763118,-0.48350428378123644,-1.2233501175956447
log_ar_l_gdp,lagged,2021,46,0.9960626908756383,2158005.3601267515,1460640.2917473526,0.09151632170366464,-0.04970883525490155
log_ar_l_highway,lagged,2019,45,0.9977558207917954,1612063.9162726353,1125414.6225697028,0.46021540661400406,0.5890265243992584
log_ar_l_highway,lagged,2020,46,0.9911216048411701,3162523.8128009876,1911313.6399956646,-0.4097451910916574,-1.0077585863727738
log_ar_l_highway,lagged,2021,46,0.9966282952947964,1996997.5332695178,1400932.0040477617,0.15929788771848108,0.10108449523975582
log_ar_l_permits,lagged,2019,45,0.997284615292583,1773246.7548031341,1274804.4181315089,0.4062448338105671,0.5027353044176015
log_ar_l_permits,lagged,2020,46,0.988940570665022,3529660.4442557325,2040542.3952775493,-0.5734021724468477,-1.500977238617451
log_ar_l_permits,lagged,2021,46,0.9953916949227484,2334658.554196715,1523611.4837384522,0.017148321282178025,-0.2286001434863627
log_lag_all,lagged,2019,45,0.9969930049620578,1866035.259003521,1223789.68040651,0.3751754670781937,0.44933310257075054
log_lag_all,lagged,2020,46,0.9904980707875847,3271692.3936416465,1954145.5063225664,-0.45840881893075136,-1.1487644582207706
log_lag_all,lagged,2021,46,0.9962252909429974,2112975.707181397,1438985.4956600072,0.11047304233840882,-0.006358739560380577
naive_prior_year,lagged,2019,45,0.9922977685481957,2986494.864850395,1818688.888888889,0,-0.4104991339625217
naive_prior_year,lagged,2020,46,0.995532616590309,2243330.0945343464,1518347.8260869565,0,-0.010253231464464996
naive_prior_year,lagged,2021,46,0.9952294851201563,2375392.548794739,1693978.2608695652,0,-0.2718461923912685
ridge_0.01,lagged,2019,45,0.9969860728531166,1868184.932173134,1225656.1722411672,0.3744556690316898,0.448063634921114
ridge_0.01,lagged,2020,46,0.9905015470289645,3271093.871350767,1953496.486024423,-0.4581420181187186,-1.1479783416587352
ridge_0.01,lagged,2021,46,0.9962223980882563,2113785.221374529,1439810.0508684723,0.110132250584413,-0.00712999096202549
