first,second,correlation,type
ly,ly,1,pooled_log
l_permits_t,ly,0.7229838836628247,pooled_log
l_highway_t,ly,0.7407005656558667,pooled_log
l_gdp_t,ly,0.7385010767657066,pooled_log
ly,l_permits_t,0.7229838836628247,pooled_log
l_permits_t,l_permits_t,1,pooled_log
l_highway_t,l_permits_t,0.8011918198931144,pooled_log
l_gdp_t,l_permits_t,0.911371720735032,pooled_log
ly,l_highway_t,0.7407005656558667,pooled_log
l_permits_t,l_highway_t,0.8011918198931144,pooled_log
l_highway_t,l_highway_t,1,pooled_log
l_gdp_t,l_highway_t,0.8752151915514513,pooled_log
ly,l_gdp_t,0.7385010767657066,pooled_log
l_permits_t,l_gdp_t,0.911371720735032,pooled_log
l_highway_t,l_gdp_t,0.8752151915514513,pooled_log
l_gdp_t,l_gdp_t,1,pooled_log
ly,ly,1,state_demeaned_log
l_permits_t,ly,0.3487141199999297,state_demeaned_log
l_highway_t,ly,0.2757098022946453,state_demeaned_log
l_gdp_t,ly,0.5093613547874775,state_demeaned_log
ly,l_permits_t,0.3487141199999297,state_demeaned_log
l_permits_t,l_permits_t,1,state_demeaned_log
l_highway_t,l_permits_t,0.27302728838638135,state_demeaned_log
l_gdp_t,l_permits_t,0.5721807258917622,state_demeaned_log
ly,l_highway_t,0.2757098022946453,state_demeaned_log
l_permits_t,l_highway_t,0.27302728838638135,state_demeaned_log
l_highway_t,l_highway_t,1,state_demeaned_log
l_gdp_t,l_highway_t,0.3349786855294878,state_demeaned_log
ly,l_gdp_t,0.5093613547874775,state_demeaned_log
l_permits_t,l_gdp_t,0.5721807258917622,state_demeaned_log
l_highway_t,l_gdp_t,0.3349786855294878,state_demeaned_log
l_gdp_t,l_gdp_t,1,state_demeaned_log
