state,years,mean_tons,min_tons,max_tons,sd_log
Texas,7,174857142.85714287,155000000,191000000,0.09162789542641303
Pennsylvania,7,90057142.85714285,86600000,95500000,0.03531166872587775
Florida,7,78000000,69100000,86600000,0.07800453458392656
Missouri,7,75714285.71428572,70800000,85500000,0.07273946785940241
Ohio,7,64785714.28571428,58400000,72600000,0.07621678932918606
North Carolina,7,56928571.428571425,50200000,62300000,0.07024870528033354
Georgia,7,55200000,48100000,61200000,0.08152986017879098
Kentucky,7,51300000,49700000,55600000,0.03924497978870886
Virginia,7,51171428.571428575,48500000,54700000,0.04154601897765485
Illinois,7,51114285.71428572,48600000,54500000,0.0431648908671039
Indiana,7,50328571.428571425,47400000,52400000,0.03681088681169207
Tennessee,7,47800000,40200000,56900000,0.11824839152293125
California,7,39514285.71428572,37100000,41900000,0.04374726225915989
Alabama,7,38985714.28571428,35300000,43800000,0.07512544950915932
New York,7,38885714.28571428,36700000,40700000,0.041942307138826254
Iowa,7,38414285.71428572,35600000,41700000,0.05504936230057314
Oklahoma,7,38057142.85714286,35800000,41500000,0.04669216924252366
Michigan,7,35100000,32500000,38000000,0.06251372097148901
Arkansas,7,30271428.57142857,27800000,34100000,0.06552533128945866
South Carolina,7,28071428.57142857,23900000,31000000,0.07984205490362152
Wisconsin,7,25371428.57142857,22700000,27800000,0.06193634719605311
Maryland,7,23942857.14285714,22100000,25700000,0.0633539659152374
Oregon,7,20457142.85714286,18300000,22200000,0.06212770344588401
New Jersey,7,17542857.14285714,16600000,18400000,0.032693110144929774
Kansas,7,16942857.14285714,15100000,19400000,0.08802291219978267
Colorado,7,15928571.42857143,14800000,17300000,0.06387697010139728
Washington,7,15500000,14200000,16700000,0.048618478266817464
West Virginia,7,14714285.714285715,13400000,16900000,0.08159411681213663
Massachusetts,7,12900000,12100000,13900000,0.04706177998674148
Nevada,7,10835714.285714285,8770000,12400000,0.1373068206135765
Wyoming,7,10761428.57142857,7440000,18300000,0.2761277387922761
Arizona,7,10660000,9410000,11800000,0.08154171783630168
Utah,7,10340000,7880000,13200000,0.19296802240647537
Connecticut,7,9912857.142857144,9360000,10500000,0.04841779837178688
Minnesota,7,7952857.142857143,7120000,9130000,0.08651147696223206
South Dakota,7,7090000,6440000,8300000,0.10226547808239644
Nebraska,4,7007500,6880000,7060000,0.012367476812237222
Hawaii,7,5380000,4680000,5880000,0.08670633824400185
New Hampshire,7,5351428.571428572,5070000,5660000,0.038650147816269805
Vermont,7,5040000,4630000,5400000,0.05869681519777312
Idaho,7,4670000,4060000,5370000,0.10103641333327874
New Mexico,7,4585714.285714285,4220000,5120000,0.0766195124199561
Maine,7,4410000,4040000,4700000,0.05540012950963238
Montana,7,2821428.5714285714,2690000,2900000,0.028063513009230146
Rhode Island,7,2111428.5714285714,1800000,2360000,0.09710179908984573
Mississippi,7,1850000,1320000,2170000,0.22085828143307362
Alaska,7,1161000,760000,1540000,0.2932455931699566
North Dakota,7,477714.28571428574,321000,788000,0.3798253625033585
