model,term,estimate,cluster_se,statistic,p_value,lower,upper,n,states,r_squared
state_year_log,l_permits_t,0.1917417960991919,0.12556647480760355,1.5270142479748994,0.13345973619020746,-0.06086536843749213,0.4443489606358759,419,48,0.9945535569206714
state_year_log,l_highway_t,0.03915177550107018,0.042658445837156084,0.9177965753962947,0.36341134984211465,-0.046665948242283574,0.12496949924442394,419,48,0.9945535569206714
state_year_log,l_gdp_t,0.518182470321197,0.16689656740246836,3.1048120305051476,0.003222087997025966,0.18242988407522087,0.8539350565671732,419,48,0.9945535569206714
pooled_log,l_permits_t,0.36094210472239996,0.2091933051425532,1.7253998854143,0.091025806712925,-0.05990054243390758,0.7817847518787076,419,48,0.6063636187222522
pooled_log,l_highway_t,0.5727761136959597,0.20833824917336718,2.7492604741020368,0.008449552868585739,0.1536536172743701,0.9918986101175493,419,48,0.6063636187222522
pooled_log,l_gdp_t,0.10652776211816879,0.2367923634357297,0.44987836842585766,0.6548662755868968,-0.36983702874731145,0.5828925529836491,419,48,0.6063636187222522
state_year_levels,housing_units_authorized,275.4443829400598,81.6256172449484,3.3744845336174945,0.0014902499916155704,111.23482177019812,439.65394410992155,419,48,0.9942078620685496
state_year_levels,highway_capital_outlays_2017_million_usd,-668.8397415849292,686.2588149759451,-0.9746173411388144,0.33473982466950825,-2049.414402576217,711.7349194063588,419,48,0.9942078620685496
state_year_levels,construction_gdp_chained_2017_million_usd,-40.34333338739565,195.19273276431235,-0.20668460764934657,0.8371489886391058,-433.02046187499025,352.3337951001989,419,48,0.9942078620685496
balanced47,l_permits_t,0.19193118166335263,0.125605883927556,1.5280429201393955,0.13334963497827063,-0.060900349292809436,0.4447627126195147,415,47,0.9945295107290595
balanced47,l_highway_t,0.039269078327414574,0.04271450392411754,0.9193382743523423,0.3627145652346673,-0.04671075863146829,0.12524891528629745,415,47,0.9945295107290595
balanced47,l_gdp_t,0.5179647190894235,0.16668294532121639,3.1074848005070255,0.00323070915085399,0.1824493520374193,0.8534800861414278,415,47,0.9945295107290595
through2021,l_permits_t,0.07897131369619943,0.09231914601184811,0.8554164234368499,0.39666052086017,-0.1067508525287691,0.264693479921168,325,48,0.9950540610495772
through2021,l_highway_t,0.04362335658528615,0.041577861076110244,1.0491967469281676,0.2994528886901874,-0.04002051101575269,0.127267224186325,325,48,0.9950540610495772
through2021,l_gdp_t,0.6210949398680391,0.1961882749792162,3.1658106985946874,0.0027141184655280633,0.2264150387735942,1.015774840962484,325,48,0.9950540610495772
exclude2020,l_permits_t,0.1989801125438233,0.12182507449835116,1.633326417924878,0.10908256307099853,-0.0461003254126566,0.44406055050030324,373,48,0.9947114447216501
exclude2020,l_highway_t,0.05120504683827163,0.040425689538700245,1.26664621983138,0.21152317689331163,-0.030120950602193212,0.13253104427873647,373,48,0.9947114447216501
exclude2020,l_gdp_t,0.5124049162375499,0.17651381853497405,2.9029167262393294,0.00561384351996136,0.15730491625759863,0.8675049162175013,373,48,0.9947114447216501
