model,n,coverage_90,mean_width
forest_m4_n5,94,0.8723404255319149,8966794.09682075
levels_lag_all,94,0.9042553191489362,11741093.264555441
log_ar,94,0.925531914893617,9006949.26928695
log_ar_l_gdp,94,0.925531914893617,9118977.157451555
log_ar_l_highway,94,0.925531914893617,9004755.054320881
log_ar_l_permits,94,0.9148936170212766,9093636.566952737
log_lag_all,94,0.9042553191489362,9602881.425134294
naive_prior_year,94,0.9148936170212766,8285143.894063943
ridge_0.01,94,0.9042553191489362,9606245.038756011
sameyear_pooled_log,94,0.8936170212765957,72573780.1878873
sameyear_state_log,94,0.8617021276595744,9221275.800052682
state_historical_mean,94,0.8829787234042553,11560492.764635168
state_log_lag_all,94,0.9361702127659575,9783510.169298777
