model,track,n,r_squared,rmse,mae,rmse_skill,change_r_squared,selected_before_test
forest_m4_n5,lagged,94,0.9909967451583409,3392328.5051709297,1662934.1477062232,-0.6916884118726632,-2.02832569825603,FALSE
levels_lag_all,lagged,94,0.9975023267762273,1786758.8384526973,1199628.3232885515,0.10897803169295783,0.1598851590428757,FALSE
log_ar,lagged,94,0.9969743094213311,1966574.4232616303,1192296.9896172278,0.01930748810270766,-0.017718224742095723,FALSE
log_ar_l_gdp,lagged,94,0.9969499331872163,1974480.306689948,1174109.0581078362,0.015364977416930992,-0.025917390210070668,FALSE
log_ar_l_highway,lagged,94,0.996937188504793,1978601.18235452,1238916.0579579435,0.01330997667101319,-0.03020417870793568,TRUE
log_ar_l_permits,lagged,94,0.9962609476688854,2186144.6873231437,1235187.2871369866,-0.09018794276092756,-0.2576638627449974,FALSE
log_lag_all,lagged,94,0.9961366402006578,2222187.540631373,1307139.26647731,-0.10816181444800521,-0.2994757971108488,FALSE
naive_prior_year,lagged,94,0.9968539994481226,2005291.5663208298,1204180.8510638298,0,-0.05818556572396494,FALSE
ridge_0.01,lagged,94,0.9961412514874034,2220860.9487469113,1306503.6914810077,-0.10750026881207764,-0.29792474936212,FALSE
sameyear_pooled_log,sameyear_conditional,94,0.4861971118449172,25626919.26195824,16595909.595693896,-11.779647454946783,-171.8222201196168,FALSE
sameyear_state_log,sameyear_conditional,94,0.9826176763859791,4713592.624573019,2641868.0650047087,-1.3505771947274448,-4.846700801156301,FALSE
state_historical_mean,lagged,94,0.9748910271750695,5665165.522098989,3108657.484802432,-1.825108137512912,-7.445628719817259,FALSE
state_log_lag_all,lagged,94,0.9963638274139457,2155859.104122222,1310844.1273143054,-0.07508510998111029,-0.22305933568499126,FALSE
