draw,rmse_difference,mae_difference
1,313045.6185103175,277524.7612324725
2,305232.69035273907,128870.63698987802
3,687566.8927124327,387174.30058118585
4,80249.29204255994,-101183.89562137309
5,87489.35185515601,221674.42064051563
6,-245718.0867015482,-129364.2231446805
7,559731.6727241019,188934.4023411679
8,-109654.49892793549,112464.32988465461
9,-143148.27736010728,-104082.64854618337
10,124296.77490680641,16247.665891110315
11,-92331.16255964711,-77813.42063903296
12,146139.23108982923,39631.71185048157
13,-134770.53936384432,201403.25229797023
14,-87279.30207712646,-89986.47506449721
15,217491.03158154804,145941.48671485996
16,65122.26325786859,-31301.594478389015
17,-39590.70165866567,-17711.579732855316
18,-53311.76521455031,80115.87365609757
19,-345502.36328677693,-126912.884831873
20,-37164.53817722807,-20185.14657994255
21,144118.32347017946,92952.69891003892
22,364004.4004759176,32564.536061780294
23,-241324.40158750978,128120.83799646213
24,295188.10714162025,103209.38295547571
25,83974.8952555568,-17798.643462361302
26,114279.1216813724,22578.537992945174
27,170926.96327089332,182658.44326355925
28,-131183.63489799574,-24555.755536357174
29,370675.27485279436,110099.80978593952
30,88835.46983846533,-29268.537964908406
31,325370.44565585954,85194.8447639409
32,-250831.06763083837,-254205.43264429574
33,-217134.88406546647,-71459.97054183926
34,92353.0826389892,-4350.118476836942
35,-454528.04094082303,-225573.47568859626
36,69460.6009599939,116276.13226417731
37,40479.09094457049,31435.521919762017
38,-422818.34339096723,-124892.97656451096
39,333119.8273448148,177151.1929326749
40,92825.4210950199,99961.96204495884
41,-431269.45325720636,-21709.644469588296
42,-145585.94222337822,-114426.59728868247
43,-155766.6899095457,-17075.582657231018
44,147489.23437740724,14565.641836186172
45,-91864.2764968914,108116.46148907603
46,96695.3640924783,-35179.46567651327
47,148246.0276695937,-49933.22088357899
48,-160600.90220319736,-167437.14189248183
49,-150122.21027177759,44491.94818326575
50,-94727.06788595277,-101805.52352778171
51,-71875.28153601824,-467.92640992160887
52,-77618.49095335929,104385.01052160957
53,-242268.82706172345,120600.26356232213
54,365944.76692047436,254331.26413302892
55,-140155.68916933634,40079.88805410743
56,560238.8708441064,358982.46345463954
57,185758.2109000883,92197.29604779393
58,270767.60328050307,147870.02675830922
59,145050.43742913054,46955.03650910559
60,733.6409099346492,-32621.30649755115
61,-210752.34260971355,-78735.944768582
62,-254669.795420537,-182999.14060636307
63,-82399.17818753212,2953.773981254548
64,28430.492942640325,26597.24249479384
65,344351.0675052209,30409.63072541426
66,-198246.79257395305,-98441.32306037005
67,205282.06384331686,47509.250056786695
68,-36969.257147159195,-2881.130477769533
69,-22219.324844649294,8219.608016065089
70,-183800.103294143,-128013.43501657259
71,-390488.7690908704,75511.61549790995
72,96756.41248793202,13626.054775390308
73,-186804.6163361126,-30076.37552835839
74,-22394.467367487494,112530.39585714415
75,404666.476602243,162263.62818151223
76,-144155.89044997026,6135.293819209794
77,-27603.242762801237,165742.33985128766
78,367268.8636327707,271261.59119715355
79,23834.638285162626,1797.5729034817778
80,157502.8956197817,102646.79170593387
81,-229277.20075423364,15809.815743624233
82,-372678.9141465868,11608.937352805166
83,-226051.17300555226,16947.236403624294
84,120089.273706062,26159.051966164727
85,30528.569786306005,21409.128520336468
86,-333034.63026671764,-133556.27935631922
87,265173.24658001214,247373.38951273623
88,709140.3695088937,424159.33226545807
89,-73782.23712374037,51287.93651963305
90,-162086.71831141762,-107839.53721800866
91,-137142.99472081522,-109858.69955312705
92,378937.82168063195,176575.26773266995
93,-370650.2051003317,-83263.74579415075
94,-404229.18472708063,-39463.76576869073
95,-239935.89376948169,-65873.01157199475
96,-466841.50760654244,-202441.46207537572
97,480981.2731828629,279487.5571247139
98,143302.80710490933,41315.39620149613
99,-327600.9839026418,-138728.2427770719
100,-14278.757451431593,67008.04610403662
101,313671.7320844,119398.90215880296
102,-255118.26729167486,-78168.23884429957
103,-377572.4885719139,-90772.36211456475
104,357208.1359171842,327148.2984925291
105,-298526.9275701449,48204.94613776798
106,-113129.27440198325,-159024.98575871508
107,370716.56640152936,312002.19915517396
108,-195699.98934855382,-49360.20501018048
109,145352.59543012385,69397.20991064352
110,205489.55105184484,3749.121139397146
111,-265219.5672147779,-265996.0571265938
112,-249460.98566773557,-181578.78149746428
113,82180.55794119905,-43967.123694017064
114,-180474.73762777285,-182315.21897272463
115,-141177.5318085719,-151383.86605781433
116,91072.5567286245,131107.6791622052
117,-167052.1073423738,-186860.92945477786
118,-149993.98439592193,-5778.3474321751855
119,-358171.34984279494,-121257.4247270301
120,282525.91669707326,130797.62866578065
121,185580.51080506435,51230.12329646654
122,13821.9671997712,131141.5795919483
123,-51487.10021271929,-82610.99290975765
124,78833.68935509329,50827.21759304439
125,-242739.47446245537,-163094.9823837874
126,-349146.72279764386,-226114.83777706767
127,-396102.5237100716,-23568.521152435336
128,323916.26245467854,90603.71619617427
129,319641.26492816396,118132.4044754022
130,-833.911549792625,73647.07071748679
131,597528.9047973438,320351.21237376204
132,-108310.8225836805,-94122.43633202184
133,229884.6496384861,124405.62227047863
134,138031.824661477,168213.67932047765
135,-344259.1489704624,-124399.77578392671
136,99165.31600215891,75305.73430723185
137,35624.550435587065,-85657.38770064409
138,-154183.276632878,97659.04086852167
139,-230957.89253911935,-59190.20899667358
140,173382.89645383647,23735.59871536796
141,-126810.31620055716,55452.23374343733
142,-185864.02875182824,-9413.481915081386
143,-154735.03796135727,-33671.91381927044
144,-219452.41005746648,-127305.6055094311
145,225710.64230218763,146532.31595892087
146,117201.28212022758,-11724.347225549864
147,-244827.16788665764,44816.23152702418
148,168646.03442686098,-25927.12394859339
149,370481.7828643217,198292.14480599645
150,124956.92838202533,93542.70081032347
151,-381168.7222532565,-131776.6986249569
152,197806.6166162761,247325.60746176238
153,450422.1634079737,133816.3145341375
154,-140403.06645545596,-174008.74434596323
155,111387.52906855033,32688.166464349022
156,523512.99057483487,182477.16143819597
157,-463450.7366645057,3031.9989901501685
158,127976.06229895214,139991.25951704988
159,322674.01641275035,286371.94371869764
160,-347530.27870727656,-100748.09555946081
161,-244103.51489771018,-87957.90381403989
162,163487.833154822,203629.02132236585
163,127855.9951758848,156546.66419348377
164,-326364.4495986174,-33564.90105009894
165,-153964.47214445658,24832.30725002964
166,82561.69966850197,135355.9282980468
167,-209028.77164431545,-33422.37850995548
168,-548622.0331701967,-260743.41630194127
169,153977.284913891,63780.7156057274
170,-509147.8695303907,-254913.02784894686
171,29045.475842568092,-13033.14765804424
172,-394992.62844786746,-120796.40788673214
173,-258469.56230758107,-123666.1563829279
174,-365552.2308327907,-131143.65706653346
175,252083.3116415001,95934.94534598349
176,96469.4758498082,202898.0976291902
177,-406569.0791189959,-152497.45419072185
178,-257118.81594974082,79218.9832538215
179,394973.65555599774,218684.51444545155
180,-7839.405494125094,-25738.376515230397
181,-146891.22954964032,6109.158470025752
182,757437.4668162451,634538.5169158014
183,-273360.2900711794,-96451.94967313448
184,184099.79815834062,81265.92194923444
185,292644.6674877575,31778.32991352561
186,-60079.158790699206,151368.67208968964
187,-431789.66662435746,-204444.11007582897
188,-62246.19325845409,51177.01012608339
189,28244.96014242107,-28029.625563742593
190,138880.63740964746,59481.78187894961
191,-112143.41317693423,28471.314309123904
192,489667.535557115,248712.6813560254
193,557030.347139902,266533.8752722329
194,94530.25044274027,8934.950884868042
195,444603.6552402037,252701.35452395724
196,256846.0576489088,66623.24637704832
197,-169464.21408954402,62617.66250325972
198,-71782.79409583774,-123828.49303379632
199,-179909.53015578305,17716.24446157925
200,355003.987195448,311738.5990107078
201,-110766.4837838104,-115386.7596412896
202,-287924.5263924585,3876.0094387347344
203,227567.47366422135,291162.51199651195
204,167638.49365853332,14462.033633027691
205,753186.7384619247,280323.21668019844
206,-532967.2084457967,-193365.71109309
207,-183604.6714781241,-119289.65658771864
208,-506900.26295459736,-68828.91657975176
209,-480850.7853681345,-102465.03146776755
210,-333908.6970158068,-164924.9537913897
211,198886.42100853217,62553.374126504874
212,-127422.7223181487,94429.10966089554
213,-165869.83076145034,60871.5358925506
214,-89487.52939358144,-68080.59321923787
215,127072.18269143929,197784.33634256967
216,-96922.7538240084,-159974.36290120636
217,180304.10693106125,154865.932380475
218,-624132.3462577274,-335070.0271191201
219,211180.3236006496,42679.91561457561
220,-56635.190876589855,-10538.738474522019
221,-270605.49266323424,-130321.73962068232
222,-147517.34733131598,-30770.44991997094
223,685492.4858556187,312971.3686598033
224,99442.04658834403,230527.60998509196
225,-138028.79135184805,-135116.64217942674
226,-50314.42893082532,-137470.7081140841
227,-509969.8815071031,-120670.15209014923
228,111788.19762787037,112579.63764973544
229,232862.71245267987,140646.73850153387
230,157285.97749174805,168616.18706605793
231,-189342.3361617371,-91835.48764320672
232,-359761.92457352206,79564.05319338478
233,-264542.24431220954,-34211.37576489663
234,374205.14780050796,285115.8793441488
235,-60903.58886012249,32432.16648705071
236,187933.8622455534,23286.50159123144
237,100008.92775624036,4747.407600268256
238,-306073.1169134299,-151603.9966634285
239,-367342.6751918816,-171923.0299319462
240,55319.88714419212,78086.6789669136
241,-162044.78881788487,-117607.62035966408
242,333803.87483380083,90645.6186647485
243,-397599.7431285926,-103732.41930750827
244,210458.02021197975,33270.61085920315
245,-201403.03478393354,59202.95937297214
246,187104.9643881903,118483.15864387155
247,-425939.94125673454,-118622.90998156881
248,469481.1362303926,173381.36167902
249,215838.60434928583,1368.188651720062
250,54027.44183973991,69297.61234494671
251,-177091.308327629,-149652.59948507347
252,-380865.2413587412,-106861.81006640382
253,-272607.238256288,-96334.19129179232
254,199907.9048983301,-62856.75783188897
255,24426.434835727327,-106832.8783064019
256,-200445.05128011247,-127180.12068350171
257,91470.80081279972,83356.83145995461
258,-334167.2696852342,-37910.05781421461
259,-260331.78264889587,-109296.77286379575
260,971311.9174833398,514178.7027240733
261,428546.02398762386,157893.30533306266
262,-116315.41881605284,-82808.97845072369
263,-321206.51428973535,-60122.35106416966
264,497983.78522180393,436173.2205164769
265,454335.50207552663,151243.74415374757
266,173754.323943489,68204.60687052691
267,406178.7574457824,159527.6471891487
268,-167596.12965874793,-200836.8007239413
269,-156170.4925782706,-25651.988595552626
270,809889.447499539,491196.3301438296
271,-224623.9399305773,-78826.2806965257
272,170786.17638272326,79283.26745202311
273,-54468.74796886835,-8736.84727780195
274,-554.987884839531,147219.94727399107
275,95640.50627834047,54146.42706219526
276,-371017.26388621144,-25187.32979538571
277,-33870.18430388346,40451.27086701407
278,778520.0647344408,374480.83402793505
279,-162997.63751900056,109762.64901875239
280,-195919.6349081793,-53783.10331590101
281,-103409.58068203647,95369.30959632294
282,264569.0873165338,91363.2006548252
283,174965.56806847313,10967.90334818256
284,-65658.44394159643,89967.16983926948
285,223031.18010161305,116427.73593057797
286,-318344.3946120653,-230645.72421497456
287,220077.38940655347,207346.20899438648
288,-72561.51308829943,-71581.88707980898
289,-181540.61843669042,-33235.67292079213
290,-232133.67919749836,-125530.01887186826
291,420115.56245630444,362312.5116745394
292,-269727.7663895346,-230809.19824574888
293,202844.3060670034,69171.8595916119
294,-337194.10188651993,-71074.89592600835
295,561652.3985158848,248786.064068367
296,-469894.30463093985,-21374.373650083086
297,151428.5740658522,100298.53319488885
298,143619.17075426946,94432.2273423872
299,121491.69369555009,131904.45332638873
300,348369.9178170627,217890.17040804517
301,-473817.1481246564,-156169.74521502177
302,-521602.6127180015,-300546.51372370136
303,-304202.8564986172,-21250.087392698508
304,2040.357182656182,-87106.70851460926
305,81133.97477816185,100266.8727854453
306,448855.9789023292,190498.17151563393
307,83261.774875039,55212.15600497951
308,302591.93187988433,111564.53767988761
309,-268245.43444743915,-169142.01796839433
310,127588.49860089831,-69192.61955532595
311,-175176.4367587224,-99211.15705854679
312,123775.01552787726,184298.3902023302
313,39777.14830363379,144.24017689167522
314,-329256.05685505085,-14091.621565556154
315,-81773.51918867184,107358.54809487564
316,-172985.25990155246,-131689.60674305935
317,-65126.8249895107,-40072.846641773125
318,149134.80740210763,133878.0280179109
319,-128975.47685550805,-108217.66665003775
320,35824.578818884445,95211.25546588586
321,-26114.414426961914,49721.6602275176
322,-103585.41477996018,72650.44306927174
323,273162.81579229725,137998.32361427485
324,-378939.11856515985,-87136.57177092205
325,-93334.39484672016,239992.83355039475
326,-144059.22263714857,48480.98861862533
327,-459653.4586468232,-300568.91937788855
328,-725720.6219187991,-394227.23548708495
329,172388.09674631362,206781.05377306894
330,60313.77694308292,-19995.091110210167
331,360589.40297437133,164866.0201227069
332,-257117.5213437241,-116611.83410180244
333,81385.67607612861,97707.20409431914
334,379388.0044142094,242988.46196169092
335,-140223.6380748707,-122129.16583222686
336,-363672.315291665,-132876.2857723683
337,62461.37611430301,-15098.1707503387
338,-236719.35208642716,-33293.13337949489
339,20383.42490232177,56686.87295275694
340,-483093.87930983957,-168957.22084704996
341,-681610.4375991202,-127929.13847544533
342,26301.77527205646,164220.10118077556
343,-89202.34918052773,-41080.79072780488
344,51768.29314003233,204221.02659469168
345,533143.6343179503,230328.80242473842
346,-101341.61009913334,-6419.629011917394
347,-167005.79275676073,-107702.737637643
348,-290079.3654348501,-221366.12005508598
349,-232788.8394420736,-34627.74779166281
350,-54425.606222796254,56999.103131712414
351,156716.48991503008,33626.00933476444
352,-195057.75254053716,-178571.91932372202
353,394858.10078525846,214737.33268931136
354,-429319.338593954,-121757.91595372709
355,-207772.160293099,-141694.96618904138
356,394489.3185207306,157157.3933692542
357,6680.089257317828,19534.311329421587
358,51801.15481875371,30902.22364630131
359,-86828.85139278602,-14703.834120926447
360,45139.77007101802,249476.31519930996
361,-99377.07641597092,190836.11096806615
362,326045.7029196953,159343.44409247336
363,216830.26290967362,122563.17715452472
364,-137075.20732653234,-62055.234523245366
365,-366810.48091296875,-226564.57136419357
366,-49343.557390923146,-40336.207803938654
367,-81448.44040513644,-64148.87170300097
368,245515.88392053102,157131.82283580606
369,-89229.98194377474,-10659.61932353233
370,-462827.2235551493,-239567.0402246737
371,-13783.60298533272,-68486.6737680001
372,81882.91730632866,194916.41341999662
373,98108.36669612164,89990.8683578223
374,-113743.59914765134,147706.2952402765
375,821.9837505589239,58275.214417373994
376,51539.33988364367,-57017.55452574976
377,471831.0209369748,246129.73694763007
378,152852.5185178565,214364.6052295242
379,30694.633596003987,-32515.04063413199
380,-14780.149302815087,-74201.17746208224
381,166290.13117338042,100482.00082599255
382,-344922.184378115,152090.27210027003
383,545475.6277112679,369687.3745016169
384,-15889.084569951054,21264.3385188611
385,61604.52928396687,7770.781367198215
386,215121.85108512826,244819.49004414328
387,215989.63683074177,12724.043084693374
388,9550.97799965972,-49637.37416147813
389,357593.26053185784,128931.46041905542
390,249368.9984572858,36357.89430629322
391,-43176.94929597969,-51462.298596546054
392,280924.9098180984,194378.197001206
393,-180486.96038525016,-77644.3694301243
394,382250.3339636666,108263.11248409096
395,-412911.18036904046,-211400.32631073194
396,165038.12377981097,225622.50584377628
397,34926.68972899811,41317.56292986311
398,141525.40566692827,80105.8104690346
399,-439508.621381677,-402521.64216586575
400,-10266.971506057773,-106917.44480598462
401,130400.68446564698,61379.95471957349
402,150455.98784890864,76673.01543411613
403,214424.7156858088,227351.87950842734
404,-102721.36974983895,41810.54998987983
405,115800.6359856464,48284.46294111642
406,-135952.14273653994,-120624.84991493216
407,-40034.570017316146,-122652.58419588488
408,-54690.9292001538,-37630.51927223359
409,19521.329037188087,-7579.808647539001
410,90038.23810290359,-902.3088953762781
411,552118.9244095178,227253.1362249176
412,-52618.53617153829,-20722.405828953022
413,70592.77707723319,-62069.5501814764
414,242614.48287164583,193720.48069357267
415,125369.81075158785,195656.11468641262
416,651039.8460919464,313502.4678035076
417,-184482.76144653838,-38365.35487923329
418,144080.96831935598,107237.67225053627
419,151302.90248664096,-112935.31516238605
420,206215.33508169302,72179.75431819796
421,-83543.67857167847,-17867.513354156865
422,-329690.2647140464,-156687.07513535174
423,-5539.4923078930005,76129.81889027846
424,-304119.66684889817,-177474.88016610313
425,187743.42014748417,87585.19581526984
426,433281.5157501756,262515.0032906269
427,426674.7521892623,362136.7090918636
428,473379.80247263075,98442.57718655723
429,-47695.76654388057,45132.06858728966
430,-195368.8666209078,-98655.675013236
431,-26057.49791222415,20609.88553345343
432,416835.1638821813,135815.69165494782
433,5567.3863778985105,126207.02035524847
434,-114167.426424874,224666.1726935692
435,240684.94024775922,256422.05903881323
436,168534.08881091303,59730.00140671199
437,16918.1156556285,130866.42429982359
438,151021.99206375517,-12141.228726643836
439,-58489.73020255822,-14160.31561953458
440,-36855.60603502416,-78433.81723678997
441,-97425.98717584484,51036.328081543325
442,432429.9577645608,295469.50964557147
443,-21366.928587580565,19570.09326491598
444,-345119.8537355191,98053.01924119797
445,-213277.83533854852,-87797.07887271303
446,-159487.8011800365,46861.4445040588
447,-301570.1274572592,-108293.91072032182
448,117112.03477710276,-15380.977961494355
449,384261.57784044766,155280.8175103173
450,-4925.638521787245,163242.43016937724
451,84506.73015852971,119700.93008817488
452,373516.1327784236,233345.27758402622
453,72302.44528666371,14514.422561105806
454,324161.6416258104,157786.35118247825
455,214182.63143665367,240282.22224554722
456,332658.24606884504,169326.82957650197
457,365357.4957651582,131650.8484275462
458,-220357.1118886131,-45649.31717459182
459,66781.52427660464,59863.84383761813
460,-53285.59147956199,75878.51687478134
461,-122724.35045003868,-66249.11835635209
462,-74662.02631357173,-17090.323041699594
463,294246.3152748421,160144.56650450407
464,-46127.21791832126,-38336.1840650707
465,176896.60897495365,193289.73771807924
466,-201233.29187882878,-40822.80873863981
467,194416.92872515833,81979.33967721579
