model,centered_r_squared,mean_absolute_percentage_error,median_absolute_percentage_error
forest_m4_n5,0.5433910401178426,0.06597146384138806,0.044269765270919366
levels_lag_all,0.8733280360392184,0.06989027567218709,0.03894472261269391
log_ar,0.8465491144759569,0.0546153475005267,0.03475547953445929
log_ar_l_gdp,0.8453128496916275,0.054474140047815055,0.03221087196027979
log_ar_l_highway,0.8446664905373356,0.05549951287490808,0.03824196506158121
log_ar_l_permits,0.8103702687659791,0.055237694044012825,0.03379895798391999
log_lag_all,0.8040658927629465,0.05857453203068438,0.03854117803225263
naive_prior_year,0.8404474753802781,0.053443623191927025,0.03830307262569832
ridge_0.01,0.8042997587238245,0.05856395382944385,0.03853477191283373
sameyear_pooled_log,-25.05802084590435,1.2173476159598784,0.46072687687028335
sameyear_state_log,0.1184382931150465,0.09368868364629107,0.06864207151057744
state_historical_mean,-0.27342635157356154,0.11285909595442499,0.07855392156862745
state_log_lag_all,0.8155879166290154,0.06168681232730504,0.044782970795289014
