model,state_fips,state,n,rmse,mae,naive_rmse
forest_m4_n5,01,Alabama,2,1911502.0873824034,1888575.5340093337,254950.97567963923
forest_m4_n5,02,Alaska,2,193656.65586845222,190432.45645820515,191128.22920751397
forest_m4_n5,04,Arizona,2,1642444.178979447,1209574.776829658,1562049.935181331
forest_m4_n5,05,Arkansas,2,3454762.593899675,2878529.0120094456,1834393.632784414
forest_m4_n5,06,California,2,1772588.7541341432,1734437.386644654,1676305.461424021
forest_m4_n5,08,Colorado,2,1087054.0567496808,1044038.4571194444,1070046.727951635
forest_m4_n5,09,Connecticut,2,534667.9075279703,481564.3114839047,424264.0687119285
forest_m4_n5,12,Florida,2,10395014.291230414,8043122.447455704,4210700.65428546
forest_m4_n5,13,Georgia,2,3479699.901278271,3110471.2586837113,3166228.039797513
forest_m4_n5,15,Hawaii,2,607443.4298857263,528372.0759268901,526545.3446760307
forest_m4_n5,16,Idaho,2,342799.8339498558,255926.75941020483,185607.11193270585
forest_m4_n5,17,Illinois,2,2000713.186625518,1642423.1778013036,2538700.4549572207
forest_m4_n5,18,Indiana,2,2941456.509467968,2907658.5843189694,2024845.6731316587
forest_m4_n5,19,Iowa,2,2478091.954891117,2462901.7922587357,1106797.1810589328
forest_m4_n5,20,Kansas,2,1681704.6572347276,1426208.4744147807,353553.39059327374
forest_m4_n5,21,Kentucky,2,3231853.0019406923,3198402.375182532,2256102.8345356956
forest_m4_n5,23,Maine,2,145683.0486618056,145673.048459406,220000
forest_m4_n5,24,Maryland,2,1204378.708298068,1174460.300849611,1012422.8365658293
forest_m4_n5,25,Massachusetts,2,979350.4666351534,915396.9316051975,452769.2569068708
forest_m4_n5,26,Michigan,2,2320157.0818764786,1664181.1690031253,2154065.9228538014
forest_m4_n5,27,Minnesota,2,1134020.0863395727,914421.2042205641,449444.10108488466
forest_m4_n5,28,Mississippi,2,613791.2990140214,604665.7965935005,502195.1811795888
forest_m4_n5,29,Missouri,2,3346410.801580241,2564218.349518724,670820.3932499369
forest_m4_n5,30,Montana,2,50780.119985220794,44444.43411480659,10000
forest_m4_n5,32,Nevada,2,144885.2388815438,103409.00298562367,121655.2506059644
forest_m4_n5,33,New Hampshire,2,92289.25929861407,91042.9818336512,58309.518948453006
forest_m4_n5,34,New Jersey,2,731742.4952902998,610437.3332763202,640312.4237432849
forest_m4_n5,35,New Mexico,2,283736.22616850067,201914.09481775574,447493.01670528896
forest_m4_n5,36,New York,2,2016423.3195275092,2009573.1510235928,1000000
forest_m4_n5,37,North Carolina,2,3024280.924862486,2503210.178637389,2912902.3327259016
forest_m4_n5,38,North Dakota,2,53407.35780121604,53154.85157331213,70359.78965289763
forest_m4_n5,39,Ohio,2,1716220.6958379901,1630463.5312924907,2438237.068047322
forest_m4_n5,40,Oklahoma,2,314260.5536197987,306936.4780661762,1166190.37896906
forest_m4_n5,41,Oregon,2,1823739.2337796304,1481285.0313624702,2507987.2407968906
forest_m4_n5,42,Pennsylvania,2,2067800.2944244444,2012793.9303538501,2608639.4921491165
forest_m4_n5,44,Rhode Island,2,336939.85937894776,303464.23805621685,248696.60230891776
forest_m4_n5,45,South Carolina,2,492362.18107183004,489996.4189079944,2079663.4343085422
forest_m4_n5,46,South Dakota,2,639359.0112379271,610505.9237675196,441418.16908686486
forest_m4_n5,47,Tennessee,2,1842267.8970761294,1708818.8007357046,2785677.655436824
forest_m4_n5,48,Texas,2,17563168.69095053,17400732.162509784,8514693.1829632
forest_m4_n5,49,Utah,2,1505335.4155499164,1405779.6991031626,930053.7618869137
forest_m4_n5,50,Vermont,2,235899.4224837424,226991.20513058174,172191.75357722564
forest_m4_n5,51,Virginia,2,1554837.7781832728,1195818.2008510306,2885307.6092507015
forest_m4_n5,53,Washington,2,517519.6971115093,439031.8794115521,494974.74683058326
forest_m4_n5,54,West Virginia,2,966617.1016839026,817894.1203297405,447213.5954999579
forest_m4_n5,55,Wisconsin,2,817768.3524228355,720496.1591947749,1051189.802081432
forest_m4_n5,56,Wyoming,2,893779.3846647509,804055.4545993782,974910.252279665
levels_lag_all,01,Alabama,2,1351354.0084718072,1348918.4304400124,254950.97567963923
levels_lag_all,02,Alaska,2,276376.57684224733,202428.86253781748,191128.22920751397
levels_lag_all,04,Arizona,2,1366486.7684572753,1263831.966322218,1562049.935181331
levels_lag_all,05,Arkansas,2,2179570.5351434816,1813976.162270369,1834393.632784414
levels_lag_all,06,California,2,1217188.2260663814,885539.92604113,1676305.461424021
levels_lag_all,08,Colorado,2,1945062.1273554037,1812535.0782334302,1070046.727951635
levels_lag_all,09,Connecticut,2,517782.77404598077,422793.1452133758,424264.0687119285
levels_lag_all,12,Florida,2,1654247.1548865542,1583358.3179528639,4210700.65428546
levels_lag_all,13,Georgia,2,801617.9007800621,660857.1536169462,3166228.039797513
levels_lag_all,15,Hawaii,2,554993.777333761,517020.8755747215,526545.3446760307
levels_lag_all,16,Idaho,2,373940.5825544526,356324.1481324234,185607.11193270585
levels_lag_all,17,Illinois,2,2461968.9477674067,1981022.956739027,2538700.4549572207
