model,track,year,n,r_squared,rmse,mae,rmse_skill,change_r_squared
forest_m4_n5,lagged,2022,47,0.9879249165944016,3912400.5108812302,1766132.9875666641,-0.6419861561671143,-1.904617508599817
forest_m4_n5,lagged,2023,47,0.9940180639955517,2776491.9622514225,1559735.307845782,-0.8054258905291911,-2.39036338250089
levels_lag_all,lagged,2022,47,0.9978607908871765,1646739.326968684,1171857.6159350376,0.3088838501635156,0.48542100829029333
levels_lag_all,lagged,2023,47,0.9971496312361767,1916576.0831734252,1227399.0306420657,-0.24626187605616834,-0.6154946954137361
log_ar,lagged,2022,47,0.9976309512941828,1732946.8067009072,1093518.735072101,0.2727036360252437,0.43013392798163463
log_ar,lagged,2023,47,0.9963282893917912,2175252.9254316054,1291075.2441623546,-0.4144676099976965,-1.081004074258625
log_ar_l_gdp,lagged,2022,47,0.9977440623242575,1691070.7822080902,1046975.9925252314,0.2902784861208013,0.4573423759347576
log_ar_l_gdp,lagged,2023,47,0.9961686714526296,2222031.631767419,1301242.123690441,-0.4448856658366396,-1.1714702403495774
log_ar_l_highway,lagged,2022,47,0.9973931035014884,1817858.7364295493,1148160.2084231516,0.23706714821677521,0.37292050428621903
log_ar_l_highway,lagged,2023,47,0.9964886143350498,2127231.743843668,1329671.9074927354,-0.38324162925962746,-0.9901372016405798
log_ar_l_permits,lagged,2022,47,0.9977355702906577,1694250.6441766275,1072567.2750521293,0.2889439373402408,0.455299648058783
log_ar_l_permits,lagged,2023,47,0.9948102867292892,2586111.3554001288,1397807.2992218437,-0.6816300786424287,-1.9413577520075016
log_lag_all,lagged,2022,47,0.9976716695017871,1717989.680411094,1122049.8236266894,0.2789809571317131,0.4399285451079622
log_lag_all,lagged,2023,47,0.9946265551735888,2631491.2862245254,1492228.7093279306,-0.7111385746635566,-2.0454907180227333
naive_prior_year,lagged,2022,47,0.9955213084144159,2382724.419561454,1321617.0212765958,0,-0.07733301362332656
naive_prior_year,lagged,2023,47,0.9981648040998891,1537859.8350761442,1086744.680851064,0,-0.04012830876575757
ridge_0.01,lagged,2022,47,0.9976752822120594,1716656.3197845067,1121549.1457739347,0.2795405521128368,0.44079756945819026
ridge_0.01,lagged,2023,47,0.9946321488841825,2630121.2495020023,1491458.2371880806,-0.7102477023673466,-2.0423203879564804
sameyear_pooled_log,sameyear_conditional,2022,47,0.4976465741332935,25234977.480286226,16369937.128977865,-9.590808266837161,-119.83929421150263
sameyear_pooled_log,sameyear_conditional,2023,47,0.4749165346216364,26012956.258128364,16821882.06240993,-15.915037160613782,-296.59993294004744
sameyear_state_log,sameyear_conditional,2022,47,0.9795612409134081,5090090.448922951,2827196.0676107677,-1.1362480726410626,-3.9164693528695675
sameyear_state_log,sameyear_conditional,2023,47,0.98562355701353,4304287.407067712,2456540.06239865,-1.7988814772931456,-7.148092162085014
state_historical_mean,lagged,2022,47,0.9739499576351397,5746487.340625616,3089626.1398176295,-1.411729738214237,-5.266243189480524
state_historical_mean,lagged,2023,47,0.9758158315743074,5582659.225636808,3127688.829787234,-2.630148273792711,-12.706786399207584
state_log_lag_all,lagged,2022,47,0.9954217575197907,2409060.0890224124,1365436.0785527776,-0.011052755091923716,-0.1012796201859929
state_log_lag_all,lagged,2023,47,0.9972903759825722,1868658.9954115932,1256252.1760758332,-0.21510358277812114,-0.5357252304606477
