model,track,n,r_squared,rmse,mae,rmse_skill,change_r_squared,selected_before_test,feature_set,kind,hyperparameters,split,seed,panel_sha256,selection_sha256,evaluation_code_sha256
forest_m4_n5,lagged,94,0.9909967451583409,3392328.5051709297,1662934.1477062232,-0.6916884118726632,-2.02832569825603,FALSE,l_lag_y + l_permits + l_highway + l_gdp,forest,"{""id"":""forest_m4_n5"",""kind"":""forest"",""features"":[""l_lag_y"",""l_permits"",""l_highway"",""l_gdp""],""mtry"":4,""min_node"":5,""trees"":500,""complexity"":7,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
levels_lag_all,lagged,94,0.9975023267762273,1786758.8384526973,1199628.3232885515,0.10897803169295783,0.1598851590428757,FALSE,l_lag_y + l_permits + l_highway + l_gdp,levels_lm,"{""id"":""levels_lag_all"",""kind"":""levels_lm"",""features"":[""l_lag_y"",""l_permits"",""l_highway"",""l_gdp""],""complexity"":4,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
log_ar,lagged,94,0.9969743094213311,1966574.4232616303,1192296.9896172278,0.01930748810270766,-0.017718224742095723,FALSE,l_lag_y,log_lm,"{""id"":""log_ar"",""kind"":""log_lm"",""features"":""l_lag_y"",""complexity"":2,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
log_ar_l_gdp,lagged,94,0.9969499331872163,1974480.306689948,1174109.0581078362,0.015364977416930992,-0.025917390210070668,FALSE,l_lag_y + l_gdp,log_lm,"{""id"":""log_ar_l_gdp"",""kind"":""log_lm"",""features"":[""l_lag_y"",""l_gdp""],""complexity"":3,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
log_ar_l_highway,lagged,94,0.996937188504793,1978601.18235452,1238916.0579579435,0.01330997667101319,-0.03020417870793568,TRUE,l_lag_y + l_highway,log_lm,"{""id"":""log_ar_l_highway"",""kind"":""log_lm"",""features"":[""l_lag_y"",""l_highway""],""complexity"":3,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
log_ar_l_permits,lagged,94,0.9962609476688854,2186144.6873231437,1235187.2871369866,-0.09018794276092756,-0.2576638627449974,FALSE,l_lag_y + l_permits,log_lm,"{""id"":""log_ar_l_permits"",""kind"":""log_lm"",""features"":[""l_lag_y"",""l_permits""],""complexity"":3,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
log_lag_all,lagged,94,0.9961366402006578,2222187.540631373,1307139.26647731,-0.10816181444800521,-0.2994757971108488,FALSE,l_lag_y + l_permits + l_highway + l_gdp,log_lm,"{""id"":""log_lag_all"",""kind"":""log_lm"",""features"":[""l_lag_y"",""l_permits"",""l_highway"",""l_gdp""],""complexity"":4,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
naive_prior_year,lagged,94,0.9968539994481226,2005291.5663208298,1204180.8510638298,0,-0.05818556572396494,FALSE,,naive,"{""id"":""naive_prior_year"",""kind"":""naive"",""features"":[],""complexity"":0,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
ridge_0.01,lagged,94,0.9961412514874034,2220860.9487469113,1306503.6914810077,-0.10750026881207764,-0.29792474936212,FALSE,l_lag_y + l_permits + l_highway + l_gdp,ridge,"{""id"":""ridge_0.01"",""kind"":""ridge"",""features"":[""l_lag_y"",""l_permits"",""l_highway"",""l_gdp""],""lambda"":0.01,""complexity"":5,""track"":""lagged""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
sameyear_pooled_log,sameyear_conditional,94,0.4861971118449172,25626919.26195824,16595909.595693896,-11.779647454946783,-171.8222201196168,FALSE,l_permits_t + l_highway_t + l_gdp_t,log_lm,"{""id"":""sameyear_pooled_log"",""kind"":""log_lm"",""features"":[""l_permits_t"",""l_highway_t"",""l_gdp_t""],""complexity"":4,""track"":""sameyear_conditional""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
sameyear_state_log,sameyear_conditional,94,0.9826176763859791,4713592.624573019,2641868.0650047087,-1.3505771947274448,-4.846700801156301,FALSE,l_permits_t + l_highway_t + l_gdp_t,state_lm,"{""id"":""sameyear_state_log"",""kind"":""state_lm"",""features"":[""l_permits_t"",""l_highway_t"",""l_gdp_t""],""complexity"":6,""track"":""sameyear_conditional""}",development target 2019-2021; fixed sequential final 2022/2023,6002026,eda9b664535f68dfec7198f8a93171588eb8d921c8789fde007e947b4f8017c6,f62706c77a2a91c398ddf370317c9fba4f23142b5590d4abba5d11017a14cecd,acaaf96f11e48fc0869179528becf48ac9a3fbb442d07630c09671feaf64d4b8
