state_fips,year,active_new,active_legacy,hours_new,hours_legacy
02,2015,27,21,88933,73608
02,2016,20,16,90436,67206
02,2017,24,19,120197,57516
02,2018,22,18,180021,84884
02,2019,20,16,179097,80045
02,2020,22,16,111102,61165
02,2021,18,17,66807,66711
02,2022,19,15,47882,47010
02,2023,19,16,60315,60062
04,2019,62,61,990933,990188
04,2020,59,57,948101,933967
04,2021,60,56,991799,970020
04,2022,57,55,1046952,1027545
04,2023,56,50,858649,811905
05,2015,91,0,1793323,0
05,2016,94,0,1775837,0
05,2017,89,0,1775624,0
05,2018,87,0,1724492,0
05,2019,88,0,1647083,0
05,2020,86,0,1706905,0
05,2021,87,0,1746039,0
05,2022,88,0,1773151,0
05,2023,92,0,1679366,0
06,2015,117,72,1796176,702500
06,2016,118,74,1866024,724998
06,2017,121,77,2019858,834565
06,2018,116,72,2036583,837145
06,2019,117,73,2023657,856611
06,2020,116,72,1934011,820983
06,2021,111,68,1862082,746403
06,2022,109,66,1975358,778770
06,2023,109,67,2062269,821652
08,2015,41,40,809368,799164
08,2016,43,42,864569,857505
08,2017,44,43,926039,920517
08,2018,44,43,833946,824819
08,2019,41,39,794904,782593
08,2020,40,38,774586,757622
08,2021,39,37,818975,809616
08,2022,36,34,789522,773204
08,2023,33,30,802599,782567
09,2015,44,0,496150,0
09,2016,48,0,594619,0
09,2017,50,0,588978,0
09,2018,48,0,573322,0
09,2019,50,0,569291,0
09,2020,50,0,551297,0
09,2021,51,0,559774,0
09,2022,51,0,639394,0
09,2023,55,0,664446,0
12,2015,78,0,2287072,0
12,2016,81,0,2456130,0
12,2017,82,0,2572466,0
12,2018,80,0,2674687,0
12,2019,78,0,2763374,0
12,2020,74,0,2744093,0
12,2021,76,0,2852827,0
12,2022,71,0,2962597,0
12,2023,73,0,3143764,0
13,2015,109,4,1490263,15132
13,2016,107,5,1574922,15815
13,2017,104,4,1632764,18053
13,2018,103,5,1649093,25910
13,2019,101,6,1661620,26776
13,2020,98,7,1645277,31854
13,2021,100,9,1649755,74796
13,2022,100,11,1744715,88964
13,2023,101,13,1877621,131603
15,2015,26,0,518035,0
15,2016,26,0,475177,0
15,2017,23,0,505733,0
15,2018,21,0,508456,0
15,2019,20,0,510898,0
15,2020,20,0,507323,0
15,2021,20,0,499895,0
15,2022,20,0,496355,0
15,2023,20,0,541043,0
17,2015,117,77,1411945,1162053
17,2016,112,73,1465463,1210000
17,2017,112,74,1419264,1176078
17,2018,110,71,1429424,1194772
17,2019,112,70,1425330,1176084
17,2020,114,71,1512881,1205041
17,2021,113,71,1433941,1165985
17,2022,110,71,1392627,1108913
17,2023,104,67,1517809,1247907
18,2015,94,1,1286739,3245
18,2016,95,1,1367142,3412
18,2017,99,1,1328005,6764
18,2018,98,1,1310673,502
18,2019,97,1,1354773,1751
18,2020,96,1,1393438,5629
18,2021,95,0,1320248,0
18,2022,92,1,1318683,1161
18,2023,95,5,1373533,12307
19,2015,123,3,1496234,40591
19,2016,122,3,1533293,32841
19,2017,122,3,1479809,32101
19,2018,125,3,1426917,26790
19,2019,123,3,1412356,28637
19,2020,132,3,1506522,35481
19,2021,129,3,1455302,34183
19,2022,135,3,1521463,32747
19,2023,129,3,1487668,34310
20,2015,90,0,962967,0
20,2016,92,0,1056768,0
20,2017,101,0,1011717,0
20,2018,98,0,906998,0
20,2019,96,0,926729,0
20,2020,102,0,1078593,0
20,2021,107,0,1126858,0
20,2022,110,0,1082707,0
20,2023,113,0,1034323,0
21,2015,67,19,1323062,536970
21,2016,62,16,1379696,568527
21,2017,67,19,1437004,646478
21,2018,68,21,1342192,619606
21,2019,72,24,1421614,695040
21,2020,70,23,1463799,745559
21,2021,70,24,1340800,674752
21,2022,71,24,1384121,676089
21,2023,70,23,1449391,714322
23,2015,34,16,211342,85475
23,2016,34,16,230813,95897
23,2017,34,16,259068,106614
23,2018,34,17,263697,98462
23,2019,35,17,270520,99750
23,2020,35,16,271754,104725
23,2021,36,17,260384,107628
23,2022,35,16,260288,108906
23,2023,35,17,268424,117395
29,2015,201,199,2133387,2097114
29,2016,205,203,2301038,2282089
29,2017,208,206,2294208,2276757
29,2018,206,205,2321396,2298746
29,2019,208,207,2319447,2314231
29,2020,202,201,2338817,2326324
29,2021,202,200,2432905,2407462
29,2022,203,201,2557799,2547219
31,2018,11,10,187428,182671
31,2019,11,10,193709,184870
31,2020,11,10,99136,84542
31,2021,9,8,84866,74612
31,2022,12,11,86209,77043
31,2023,12,11,89129,78237
35,2015,45,43,459053,445285
35,2016,45,44,428949,423544
35,2017,60,59,468248,464050
35,2018,63,62,501236,497595
35,2019,68,67,526260,524191
35,2020,54,53,503608,502939
35,2021,44,43,464367,460682
35,2022,45,41,486303,479266
35,2023,44,39,469490,462578
36,2015,158,39,1512353,129942
36,2016,162,44,1668490,160647
36,2017,170,50,1622873,158757
36,2018,168,50,1665700,154798
36,2019,166,51,1674073,146728
36,2020,164,50,1488067,121323
36,2021,173,57,1649775,146028
36,2022,164,51,1657143,176181
36,2023,160,53,1766921,222744
37,2018,134,133,1827716,1823388
37,2019,130,129,1870658,1869104
37,2020,129,128,1724825,1724585
40,2015,142,140,2628628,2607785
40,2016,145,143,2675283,2655696
40,2017,147,145,2481407,2464561
40,2018,149,147,2418089,2401281
40,2019,147,146,2297670,2283325
40,2020,144,143,2325128,2306474
40,2021,145,144,2929947,2908940
40,2022,141,133,3072892,3034499
40,2023,140,129,3068091,2975043
41,2015,155,1,1131787,430
41,2016,166,1,1238037,474
41,2017,164,1,1252879,328
41,2018,164,1,1393518,528
41,2019,168,1,1293329,1061
41,2020,158,1,1368628,1324
41,2021,165,1,1300118,1590
41,2022,165,2,1388850,1275
41,2023,173,2,1370923,2158
42,2015,373,248,4071947,2255369
42,2016,363,231,4154588,2194297
42,2017,361,231,3967459,2091283
42,2018,363,237,3942627,2077812
42,2019,354,236,3985624,2115107
42,2020,357,241,3797931,2033682
42,2021,353,237,3857438,2077096
42,2022,357,245,4016807,2152174
42,2023,345,233,4098656,2204902
48,2015,363,142,8177636,4603735
48,2016,369,141,8348596,4504642
48,2017,399,162,8754823,4494624
48,2018,411,161,8587642,4595616
48,2019,415,165,9229569,4738403
48,2020,412,177,8893512,4685417
48,2021,390,177,8876772,4726391
48,2022,382,180,9395141,5056816
48,2023,373,179,9542215,5153592
49,2015,26,2,348063,41964
49,2016,22,1,315924,12079
49,2017,25,2,305439,12621
