state_fips,state,year,target_observed,target_withheld,fhwa_year_matches,bls_months,msha_no_qualifying_activity,eligible_explanation,eligible_prediction
01,Alabama,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
01,Alabama,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
01,Alabama,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
01,Alabama,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
01,Alabama,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
01,Alabama,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
01,Alabama,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
01,Alabama,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
01,Alabama,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
02,Alaska,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
02,Alaska,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
02,Alaska,2017,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE
02,Alaska,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
02,Alaska,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
02,Alaska,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
02,Alaska,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
02,Alaska,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
02,Alaska,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
04,Arizona,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
04,Arizona,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
04,Arizona,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
04,Arizona,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
04,Arizona,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
04,Arizona,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
04,Arizona,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
04,Arizona,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
04,Arizona,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
05,Arkansas,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
05,Arkansas,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
05,Arkansas,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
05,Arkansas,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
05,Arkansas,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
05,Arkansas,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
05,Arkansas,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
05,Arkansas,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
05,Arkansas,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
06,California,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
06,California,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
06,California,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
06,California,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
06,California,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
06,California,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
06,California,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
06,California,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
06,California,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
08,Colorado,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
08,Colorado,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
09,Connecticut,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
